benchmark_id,family_role,property,gate_idx,group,phi
M1,magic_axis,magic,0,M,0.018201411880359255
M1,magic_axis,magic,3,X,0.0
M1,magic_axis,magic,4,E,0.0
M1,magic_axis,magic,5,X,0.08567717700890363
M1,magic_axis,magic,6,M,0.016429524356233426
M1,magic_axis,magic,7,M,0.0009867038066234716
M1,magic_axis,entanglement,0,M,5.847174596359159e-16
M1,magic_axis,entanglement,3,X,0.0
M1,magic_axis,entanglement,4,E,0.0
M1,magic_axis,entanglement,5,X,-1.0954200509634876e-15
M1,magic_axis,entanglement,6,M,-1.1842378929335003e-16
M1,magic_axis,entanglement,7,M,2.8495724298712354e-16
M2,magic_axis,magic,0,M,-3.552713678800501e-17
M2,magic_axis,magic,1,X,3.8487731520338756e-16
M2,magic_axis,magic,2,E,0.0
M2,magic_axis,magic,3,X,-9.177843670234628e-16
M2,magic_axis,magic,4,M,0.13525487395176758
M2,magic_axis,magic,5,M,0.2165117461715757
M2,magic_axis,magic,6,M,0.00989514421190309
M2,magic_axis,magic,7,M,3.532976380584942e-16
M2,magic_axis,entanglement,0,M,3.651400169878293e-17
M2,magic_axis,entanglement,1,X,0.0
M2,magic_axis,entanglement,2,E,0.0
M2,magic_axis,entanglement,3,X,-5.921189464667502e-16
M2,magic_axis,entanglement,4,M,2.674403908208155e-16
M2,magic_axis,entanglement,5,M,-5.230384027122959e-17
M2,magic_axis,entanglement,6,M,9.079157179156835e-17
M2,magic_axis,entanglement,7,M,2.516505522483688e-16
M3,magic_axis,magic,0,M,0.04412914231859337
M3,magic_axis,magic,1,M,0.00831380709522816
M3,magic_axis,magic,3,M,0.00019686717904833598
M3,magic_axis,magic,4,M,0.27623675611467696
M3,magic_axis,magic,5,M,0.27490171709892974
M3,magic_axis,entanglement,0,M,4.8109664400423446e-17
M3,magic_axis,entanglement,1,M,4.255854927729767e-16
M3,magic_axis,entanglement,3,M,-3.1826393372587816e-16
M3,magic_axis,entanglement,4,M,-1.0362081563168127e-16
M3,magic_axis,entanglement,5,M,2.7015426932545474e-16
M4,magic_axis,magic,0,E,0.0
M4,magic_axis,magic,1,M,0.29414893146033944
M4,magic_axis,magic,2,M,0.12455328097617376
M4,magic_axis,magic,3,M,0.19005909091524661
M4,magic_axis,magic,4,M,0.059400891842831496
