benchmark_id,family_role,property,group,score,abs_share
M1,magic_axis,magic,E,0.0,0.0
M1,magic_axis,magic,M,0.03561764004321615,0.2936451936599354
M1,magic_axis,magic,X,0.08567717700890363,0.7063548063400646
M1,magic_axis,entanglement,E,0.0,0.0
M1,magic_axis,entanglement,M,7.512509133296894e-16,0.4068136272545091
M1,magic_axis,entanglement,X,-1.0954200509634876e-15,0.5931863727454909
M2,magic_axis,magic,E,0.0,0.0
M2,magic_axis,magic,M,0.3616617643352467,0.9999999999999984
M2,magic_axis,magic,X,-5.329070518200752e-16,1.4734956923068312e-15
M2,magic_axis,entanglement,E,0.0,0.0
M2,magic_axis,entanglement,M,5.94092676288306e-16,0.5008319467554077
M2,magic_axis,entanglement,X,-5.921189464667502e-16,0.4991680532445924
M3,magic_axis,magic,E,0.0,0.0
M3,magic_axis,magic,M,0.6037782898064765,1.0
M3,magic_axis,magic,X,0.0,0.0
M3,magic_axis,entanglement,E,0.0,0.0
M3,magic_axis,entanglement,M,3.2196467714129544e-16,1.0
M3,magic_axis,entanglement,X,0.0,0.0
M4,magic_axis,magic,E,0.0,0.0
M4,magic_axis,magic,M,0.6764183389674073,0.7972563755926817
M4,magic_axis,magic,X,0.17201431039780707,0.20274362440731838
M4,magic_axis,entanglement,E,0.0,0.0
M4,magic_axis,entanglement,M,6.483702463810913e-16,1.0
M4,magic_axis,entanglement,X,0.0,0.0
M5,magic_axis,magic,E,0.0,0.0
M5,magic_axis,magic,M,0.7893555828506102,0.7370634181437429
M5,magic_axis,magic,X,0.28159104591922146,0.2629365818562571
M5,magic_axis,entanglement,E,0.0,0.0
M5,magic_axis,entanglement,M,0.0,0.0
M5,magic_axis,entanglement,X,0.0,0.0
E1,entanglement_axis,magic,E,0.0,0.0
E1,entanglement_axis,magic,M,0.0864421287193354,1.0
E1,entanglement_axis,magic,X,0.0,0.0
E1,entanglement_axis,entanglement,E,0.7223156873296359,0.6703858693396818
E1,entanglement_axis,entanglement,M,-0.35514689111209646,0.32961413066031814
E1,entanglement_axis,entanglement,X,0.0,0.0
E2,entanglement_axis,magic,E,-2.9605947323337513e-17,1.09773595111696e-16
E2,entanglement_axis,magic,M,0.2697000794518307,0.9999999999999998
E2,entanglement_axis,magic,X,0.0,0.0
E2,entanglement_axis,entanglement,E,0.11059894876233765,0.27798479894286704
E2,entanglement_axis,entanglement,M,0.28726075141885304,0.7220152010571329
