K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
1,2,1,P,M,magic,-0.020624999999999987,0.050875153562421796,5,"[-0.04062499999999998, -0.08124999999999998, 0.05, 0.028125000000000015, -0.05937499999999999]"
1,4,3,P,X,mix,0.001445312499999995,0.0071662389346678936,5,"[0.004492187499999998, 0.008203124999999985, 0.007812500000000003, -0.010546875000000011, -0.002734375]"
1,5,4,CX,E,entanglement,0.004531249999999999,0.009290307554280695,5,"[-0.0048828124999999965, 0.007226562499999995, 0.002148437499999999, 0.021093749999999994, -0.0029296874999999983]"
1,6,5,P,X,mix,-0.0046875,0.009593005620551752,5,"[-0.004296875, 0.004492187500000002, -0.023046875, -0.0003906250000000008, -0.000195312499999998]"
1,7,6,CX,E,entanglement,0.0195703125,0.007777656675334479,5,"[0.026953125000000005, 0.0103515625, 0.020703125000000003, 0.010937499999999996, 0.028906249999999988]"
1,8,7,H,E,entanglement,0.022539062499999995,0.00912057094995291,5,"[0.011914062499999989, 0.021875000000000002, 0.019140625, 0.020312499999999997, 0.03945312499999998]"
1,9,8,P,M,magic,0.003750000000000006,0.01960548392669766,5,"[0.012500000000000004, -0.03437500000000001, 0.009375000000000008, 0.009375000000000008, 0.02187500000000002]"
1,10,9,H,E,entanglement,0.0072265625,0.007392004033603642,5,"[0.01386718750000001, 0.004101562499999994, 0.014648437499999998, 0.008984374999999998, -0.005468749999999998]"
1,11,10,P,X,mix,0.0016406250000000025,0.009517632433984697,5,"[-0.0037109374999999985, 0.004882812499999997, -0.001953124999999998, 0.018359375000000004, -0.009374999999999991]"
1,12,11,CX,E,entanglement,0.008789062499999998,0.006970221257248581,5,"[0.015234374999999998, -0.003906250000000002, 0.006835937500000002, 0.011718750000000007, 0.014062499999999988]"
1,13,12,P,X,mix,0.006523437499999995,0.004767545719497611,5,"[0.008984374999999992, 0.004882812499999993, 0.00664062499999999, -0.0011718749999999987, 0.013281250000000001]"
1,14,13,CX,E,entanglement,0.011679687499999999,0.003589501564893792,5,"[0.011328124999999994, 0.01796875, 0.012109374999999999, 0.007031250000000006, 0.009960937500000005]"
1,15,14,RY,X,mix,-0.020624999999999998,0.006757473799315647,5,"[-0.01191406249999999, -0.02656250000000001, -0.015625000000000003, -0.030078124999999973, -0.018945312500000012]"
1,16,15,RY,X,mix,0.003593750000000001,0.0074655376852365745,5,"[0.008203124999999999, -0.008789062499999993, 0.004687499999999997, 0.0005859375000000005, 0.013281250000000001]"
1,17,16,CX,E,entanglement,0.0159375,0.009598253218359578,5,"[0.025781249999999995, 0.023437500000000003, 0.0035156249999999992, 0.005078125000000003, 0.021875000000000002]"
1,18,17,RY,X,mix,-0.0008203124999999995,0.0031935833493702635,5,"[0.00039062500000000143, -0.0046875, 0.003906249999999999, -0.004101562499999996, 0.0003906249999999973]"
1,19,18,RY,M,magic,-0.009375,0.04808846015417837,5,"[0.006249999999999992, 0.018750000000000003, 0.046875000000000014, -0.02499999999999999, -0.09375000000000001]"
8,2,1,P,M,magic,0.013984375000000007,0.013226910896917693,5,"[0.01249999999999999, -0.007812499999999986, 0.014062500000000002, 0.01757812500000002, 0.033593750000000006]"
8,4,3,P,X,mix,0.006269531250000002,0.003093461148427606,5,"[0.010766601562499999, 0.0014160156250000028, 0.007910156249999998, 0.005102539062500003, 0.006152343750000001]"
8,5,4,CX,E,entanglement,0.004594726562499996,0.003777176609700575,5,"[-0.0015136718750000003, 0.008984374999999994, 0.004589843749999996, 0.002880859374999994, 0.008032226562499994]"
8,6,5,P,X,mix,-0.0030126953125000043,0.004698590192987229,5,"[0.00031738281249999345, -0.00036621093750000217, -0.01171875000000001, 0.0008789062499999999, -0.004174804687500002]"
8,7,6,CX,E,entanglement,0.022529296875,0.0021332582559885184,5,"[0.021777343750000004, 0.022827148437499993, 0.024047851562499997, 0.01889648437499999, 0.025097656250000003]"
8,8,7,H,E,entanglement,0.024458007812499998,0.003604144116516718,5,"[0.02492675781250001, 0.022949218750000014, 0.031079101562499996, 0.022900390624999992, 0.02043457031249999]"
8,9,8,P,M,magic,0.007656249999999995,0.008434605985166113,5,"[0.009375000000000015, 0.0042968750000000056, -0.0035156250000000187, 0.022265624999999987, 0.005859374999999983]"
8,10,9,H,E,entanglement,0.005693359375000003,0.0033417634856419336,5,"[0.0042968750000000056, 0.007348632812499997, 9.765625000000204e-05, 0.010034179687500004, 0.006689453125000004]"
8,11,10,P,X,mix,0.00036132812500000065,0.002007566444371008,5,"[-0.0013427734374999967, -0.0015136718750000018, 0.0037841796875000004, -0.0005615234374999974, 0.0014404296874999988]"
8,12,11,CX,E,entanglement,0.009560546874999997,0.0030540655337074306,5,"[0.006030273437500008, 0.011499023437499993, 0.006249999999999999, 0.013940429687499988, 0.010083007812500003]"
8,13,12,P,X,mix,0.003325195312500001,0.0038450218515556473,5,"[-0.0028076171874999957, 0.003344726562500002, 0.006298828125000007, 0.0015380859374999982, 0.008251953124999996]"
8,14,13,CX,E,entanglement,0.008310546875,0.0011398622235480379,5,"[0.0096923828125, 0.0065429687499999984, 0.008081054687500004, 0.0093994140625, 0.007836914062499995]"
8,15,14,RY,X,mix,-0.003310546875000002,0.0056375363841437,5,"[-0.00478515625000001, -0.0030273437499999997, -0.0003662109374999987, -0.012744140625000011, 0.004370117187500007]"
8,16,15,RY,X,mix,0.010468750000000002,0.003497757329411121,5,"[0.012475585937500004, 0.0109130859375, 0.0150146484375, 0.004541015625000003, 0.009399414062499997]"
8,17,16,CX,E,entanglement,0.013056640625,0.002689024736670133,5,"[0.010205078124999985, 0.014282226562500005, 0.01633300781250001, 0.009545898437499993, 0.01491699218750001]"
8,18,17,RY,X,mix,0.004492187499999998,0.00388446071342982,5,"[0.0019287109374999942, 0.0034423828125000008, 0.008959960937499997, 0.008935546875000002, -0.0008056640625000071]"
8,19,18,RY,M,magic,-0.0029687499999999983,0.00883745358898705,5,"[0.011328125000000005, -0.00039062499999999514, -0.011328125000000008, -0.0011718749999999854, -0.013281250000000008]"
16,2,1,P,M,magic,0.012031250000000002,0.008712426302145259,5,"[0.020703124999999996, 0.02285156250000001, 0.011718750000000003, 0.0011718750000000097, 0.0037109374999999938]"
16,4,3,P,X,mix,0.005974121093749998,0.0024926100226236817,5,"[0.00469970703125, 0.0062011718749999944, 0.0020751953124999974, 0.009436035156249994, 0.007458496093750002]"
16,5,4,CX,E,entanglement,0.008850097656250003,0.002474290256653398,5,"[0.009362792968750007, 0.010131835937499993, 0.01184082031250001, 0.004418945312499997, 0.008496093750000013]"
16,6,5,P,X,mix,-0.0030468749999999966,0.0015307948156061191,5,"[-0.0013183593749999949, -0.003308105468749998, -0.0019531250000000017, -0.0028808593749999932, -0.005773925781249997]"
16,7,6,CX,E,entanglement,0.02096435546874999,0.003557545278211462,5,"[0.021923828125, 0.017895507812499996, 0.02572021484375, 0.02330322265624999, 0.01597900390624999]"
16,8,7,H,E,entanglement,0.02589843750000001,0.002600717676588349,5,"[0.02099609375000001, 0.027917480468749995, 0.02736816406249999, 0.025476074218750002, 0.02773437500000005]"
16,9,8,P,M,magic,-0.0037890625000000034,0.012004714039896478,5,"[-0.00039062500000000555, -0.008789062500000003, -0.022265625000000018, -0.002148437499999982, 0.014648437499999997]"
16,10,9,H,E,entanglement,0.0038867187500000013,0.0022648250877766837,5,"[0.002478027343750009, 0.003295898437500001, 0.0007690429687499931, 0.005944824218750003, 0.006945800781250001]"
16,11,10,P,X,mix,0.0009960937500000013,0.0023806602889229873,5,"[0.0007568359375000049, 2.441406250000013e-05, 0.005126953125, 0.00126953125, -0.0021972656249999987]"
16,12,11,CX,E,entanglement,0.0123486328125,0.005049295606681907,5,"[0.011071777343750006, 0.00673828125, 0.021716308593749997, 0.009777832031250003, 0.012438964843749999]"
16,13,12,P,X,mix,0.006330566406250003,0.002748221082120389,5,"[0.004760742187500007, 0.0035644531249999917, 0.004125976562500003, 0.010437011718750014, 0.0087646484375]"
16,14,13,CX,E,entanglement,0.007985839843749997,0.003233581519351451,5,"[0.008435058593749996, 0.00653076171875, 0.00651855468749999, 0.013952636718749991, 0.004492187500000004]"
16,15,14,RY,X,mix,-0.010947265624999997,0.006701628582433594,5,"[-0.02178955078125001, -0.014843749999999982, -0.003491210937499996, -0.005102539062500003, -0.00950927734375]"
16,16,15,RY,X,mix,0.006857910156249998,0.0025146413265979537,5,"[0.007434082031249992, 0.01026611328125, 0.006091308593749997, 0.007885742187499998, 0.0026123046875000033]"
16,17,16,CX,E,entanglement,0.012478027343749998,0.002539454503243114,5,"[0.015405273437499993, 0.015551757812499994, 0.01036376953125001, 0.011584472656249999, 0.009484863281249995]"
16,18,17,RY,X,mix,0.0052563476562499985,0.0047528455141701564,5,"[0.0002685546874999997, 0.004541015624999997, 0.013720703124999997, 0.006335449218750004, 0.001416015624999995]"
16,19,18,RY,M,magic,0.005898437499999993,0.0031332897859617987,5,"[0.010156249999999992, 0.005273437499999985, 0.008398437500000008, 0.001171874999999982, 0.004492187499999998]"
