K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
1,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.09027343749999998,0.010745667050098027,0.012896205357142856,0.0015350952928711466,5,"[0.1001953125, 0.08105468749999999, 0.0791015625, 0.08515624999999999, 0.10585937499999998]","[0.014313616071428571, 0.01157924107142857, 0.011300223214285714, 0.01216517857142857, 0.015122767857142854]"
1,M,magic,"[2, 9, 19]",3,-0.026249999999999978,0.08377331764947596,-0.00874999999999999,0.027924439216491983,5,"[-0.021874999999999985, -0.09687499999999998, 0.10625000000000002, 0.012500000000000028, -0.13124999999999998]","[-0.007291666666666662, -0.032291666666666656, 0.03541666666666667, 0.004166666666666676, -0.04374999999999999]"
1,X,mix,"[4, 6, 11, 13, 15, 16, 18]",7,-0.012929687500000004,0.01051528834899452,-0.0018470982142857147,0.0015021840498563603,5,"[0.0021484375, -0.017578125000000028, -0.01757812500000001, -0.027343749999999972, -0.004296875]","[0.0003069196428571429, -0.0025111607142857184, -0.0025111607142857158, -0.003906249999999996, -0.0006138392857142858]"
8,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.088203125,0.006808633389469733,0.01260044642857143,0.0009726619127813905,5,"[0.07541503906250001, 0.09443359375, 0.090478515625, 0.08759765624999996, 0.09309082031249999]","[0.010773577008928573, 0.013490513392857144, 0.012925502232142857, 0.012513950892857137, 0.013298688616071428]"
8,M,magic,"[2, 9, 19]",3,0.018671875000000004,0.017638611211451716,0.006223958333333335,0.005879537070483905,5,"[0.033203125000000014, -0.0039062499999999757, -0.000781250000000025, 0.03867187500000002, 0.026171874999999983]","[0.011067708333333337, -0.0013020833333333252, -0.000260416666666675, 0.012890625000000008, 0.008723958333333328]"
8,X,mix,"[4, 6, 11, 13, 15, 16, 18]",7,0.018593749999999992,0.007825590229625914,0.0026562499999999998,0.0011179414613751307,5,"[0.01655273437499999, 0.014208984375000002, 0.029882812499999994, 0.007690429687499998, 0.024633789062499988]","[0.002364676339285713, 0.002029854910714286, 0.004268973214285714, 0.0010986328124999998, 0.003519112723214284]"
16,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.09241210937500001,0.006613037249079624,0.013201729910714286,0.0009447196070113748,5,"[0.08967285156250003, 0.08806152343749998, 0.10429687499999998, 0.0944580078125, 0.08557128906250006]","[0.012810407366071433, 0.012580217633928569, 0.014899553571428569, 0.013494001116071427, 0.012224469866071437]"
16,M,magic,"[2, 9, 19]",3,0.014140624999999993,0.012878545476634766,0.0047135416666666645,0.004292848492211589,5,"[0.030468749999999982, 0.01933593749999999, -0.0021484375000000062, 0.00019531250000000971, 0.022851562499999988]","[0.010156249999999993, 0.006445312499999997, -0.0007161458333333355, 6.51041666666699e-05, 0.007617187499999996]"
16,X,mix,"[4, 6, 11, 13, 15, 16, 18]",7,0.011420898437500004,0.012914410465858056,0.0016315569196428577,0.0018449157808368651,5,"[-0.005187988281250001, 0.006445312500000003, 0.025695800781249997, 0.027380371093750015, 0.002770996093750004]","[-0.0007411411830357144, 0.000920758928571429, 0.0036708286830357136, 0.0039114815848214305, 0.0003958565848214291]"
32,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.09364013671875002,0.009343385638274212,0.013377162388392858,0.0013347693768963162,5,"[0.08111572265625004, 0.10725097656250002, 0.09391479492187499, 0.08612670898437497, 0.09979248046875004]","[0.011587960379464291, 0.015321568080357145, 0.01341639927455357, 0.012303815569196424, 0.014256068638392863]"
32,M,magic,"[2, 9, 19]",3,0.006933593749999986,0.01667801788335706,0.002311197916666663,0.005559339294452354,5,"[0.002734374999999987, 0.03652343749999999, 0.00263671875000002, -0.014941406249999997, 0.00771484374999994]","[0.0009114583333333289, 0.012174479166666663, 0.0008789062500000067, -0.004980468749999999, 0.0025716145833333134]"
32,X,mix,"[4, 6, 11, 13, 15, 16, 18]",7,0.011490478515624996,0.013030637127485815,0.001641496930803571,0.0018615195896408306,5,"[0.022900390624999996, 0.011096191406249997, -0.012475585937500012, 0.012469482421875004, 0.0234619140625]","[0.0032714843749999992, 0.0015851702008928567, -0.0017822265625000017, 0.001781354631696429, 0.0033517020089285712]"
