K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
1,E,entanglement,"[5, 7, 12, 14, 17]",5,0.044218749999999994,0.01567647770148001,0.008843750000000001,0.003135295540296002,5,"[0.057031250000000006, 0.04999999999999999, 0.014843749999999994, 0.0421875, 0.057031249999999985]","[0.011406250000000001, 0.009999999999999998, 0.0029687499999999987, 0.0084375, 0.011406249999999996]"
1,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.009531250000000002,0.023252656518261514,0.001588541666666667,0.003875442753043586,5,"[0.03593749999999999, 0.034375, -0.025781249999999985, -0.0011718749999999993, 0.004296874999999992]","[0.005989583333333332, 0.005729166666666667, -0.004296874999999998, -0.00019531249999999988, 0.000716145833333332]"
1,X,mix,"[6, 13, 15, 16]",4,0.03531249999999999,0.05416806889210655,0.008828124999999997,0.013542017223026637,5,"[0.1203125, -0.007812500000000014, 0.05624999999999998, 0.043750000000000004, -0.03593750000000001]","[0.030078125, -0.0019531250000000035, 0.014062499999999995, 0.010937500000000001, -0.008984375000000003]"
8,E,entanglement,"[5, 7, 12, 14, 17]",5,0.03099609375000001,0.01171656880742569,0.006199218750000002,0.002343313761485138,5,"[0.014062499999999999, 0.043066406250000015, 0.021289062500000018, 0.03310546875000001, 0.04345703125]","[0.0028125, 0.008613281250000004, 0.004257812500000004, 0.006621093750000003, 0.00869140625]"
8,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.01230468750000001,0.011447003861268778,0.002050781250000002,0.0019078339768781299,5,"[0.015039062500000014, 0.024658203125000007, 0.0010253906249999903, -0.003027343749999974, 0.023828125000000012]","[0.002506510416666669, 0.004109700520833335, 0.0001708984374999984, -0.0005045572916666624, 0.003971354166666669]"
8,X,mix,"[6, 13, 15, 16]",4,0.060078125,0.01163026489480946,0.01501953125,0.002907566223702365,5,"[0.062109374999999994, 0.05175781250000001, 0.07656250000000002, 0.04316406250000003, 0.06679687499999996]","[0.015527343749999999, 0.012939453125000002, 0.019140625000000005, 0.010791015625000008, 0.01669921874999999]"
16,E,entanglement,"[5, 7, 12, 14, 17]",5,0.02649414062499999,0.017253474452302926,0.0052988281249999976,0.003450694890460585,5,"[0.027343749999999997, -0.001708984375000019, 0.04013671874999998, 0.047705078125, 0.018994140624999982]","[0.00546875, -0.00034179687500000383, 0.008027343749999995, 0.009541015625, 0.0037988281249999962]"
16,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.008168945312500002,0.007635969432547821,0.001361490885416667,0.0012726615720913036,5,"[0.018945312500000006, 0.015820312499999996, 0.0033935546875000196, 0.0020019531249999903, 0.0006835937499999954]","[0.0031575520833333343, 0.0026367187499999993, 0.00056559244791667, 0.00033365885416666505, 0.0001139322916666659]"
16,X,mix,"[6, 13, 15, 16]",4,0.06162109374999999,0.016690707352118504,0.015405273437499997,0.004172676838029626,5,"[0.09003906250000002, 0.043066406249999974, 0.05527343750000002, 0.06972656249999998, 0.05000000000000001]","[0.022509765625000004, 0.010766601562499993, 0.013818359375000006, 0.017431640624999994, 0.012500000000000002]"
32,E,entanglement,"[5, 7, 12, 14, 17]",5,0.03520996093750001,0.011980121519207992,0.0070419921875,0.0023960243038415987,5,"[0.03793945312500001, 0.050976562500000024, 0.04409179687499999, 0.01953125, 0.023510742187499982]","[0.007587890625000001, 0.010195312500000005, 0.008818359374999998, 0.00390625, 0.004702148437499996]"
32,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.013327636718750004,0.006771720730265851,0.0022212727864583345,0.0011286201217109752,5,"[0.01884765625000003, 0.01241455078125002, 0.022766113281249997, 0.004040527343749983, 0.0085693359375]","[0.0031412760416666716, 0.0020690917968750034, 0.003794352213541666, 0.0006734212239583305, 0.0014282226562500001]"
32,X,mix,"[6, 13, 15, 16]",4,0.06697265625000001,0.00775753368787124,0.016743164062500003,0.00193938342196781,5,"[0.076953125, 0.07060546875000001, 0.065234375, 0.053466796874999986, 0.06860351562500004]","[0.01923828125, 0.017651367187500003, 0.01630859375, 0.013366699218749997, 0.01715087890625001]"
