K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
1,2,1,P,M,magic,0.0005468750000000003,0.006274244966714621,5,"[0.006542968749999999, -0.01005859375, -0.0007812499999999998, 0.00732421875, -0.0002929687499999972]"
1,4,3,P,M,magic,0.005234375000000001,0.0026208288567711514,5,"[0.01015625, 0.004980468750000002, 0.0045898437500000045, 0.004101562499999999, 0.0023437499999999947]"
1,5,4,CX,E,entanglement,0.0165625,0.01576035126115532,5,"[0.03906250000000001, 0.030468749999999996, 0.0015625000000000049, 0.012499999999999997, -0.0007812500000000033]"
1,6,5,P,X,mix,-0.005625000000000001,0.027645213193245588,5,"[-0.021875, -0.03125, -0.029687500000000002, 0.0359375, 0.018749999999999996]"
1,7,6,CX,X,mix,0.0246875,0.010145426925467452,5,"[0.010937500000000001, 0.014062500000000007, 0.034375, 0.0296875, 0.034374999999999996]"
1,8,7,H,E,entanglement,0.034687499999999996,0.01152019286947922,5,"[0.01640625, 0.032812499999999994, 0.03828125000000001, 0.05234374999999998, 0.03359374999999999]"
1,9,8,P,M,magic,0.0013281249999999968,0.006458202073598927,5,"[-0.0087890625, 0.007128906249999999, -0.0016601562500000047, 0.009277343749999993, 0.0006835937499999965]"
1,10,9,H,E,entanglement,0.00546875,0.02365523858471945,5,"[0.02265624999999999, 0.014843749999999998, -0.03828124999999999, 0.0007812499999999981, 0.027343750000000003]"
1,11,10,P,M,magic,0.0012304687500000035,0.0023933552628188125,5,"[0.0029296875000000082, 0.001953125, 0.0024414062500000017, 0.002343750000000006, -0.003515624999999999]"
1,12,11,CX,E,entanglement,0.019375,0.013095204274848105,5,"[0.014843749999999998, 0.025781250000000006, 0.003906249999999995, 0.041406250000000006, 0.010937500000000006]"
1,13,12,P,X,mix,0.0228125,0.025533372769769372,5,"[-0.006249999999999997, 0.059375000000000004, 0.0078125, 0.046874999999999986, 0.00625]"
1,14,13,CX,X,mix,-0.0046875,0.023133444404152183,5,"[-0.032812499999999994, 0.02031249999999999, 0.0203125, -0.029687500000000002, -0.0015624999999999962]"
1,15,14,RY,M,magic,-0.006464843749999996,0.004215041049019791,5,"[-0.0008789062499999995, -0.0032226562499999964, -0.011035156249999987, -0.0115234375, -0.005664062500000001]"
