K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
1,E,entanglement,"[5, 8, 10, 12, 17]",5,0.07953125000000001,0.027552329472750568,0.01590625,0.0055104658945501145,5,"[0.071875, 0.11484375, 0.03203125000000001, 0.09374999999999999, 0.08515625000000002]","[0.014374999999999999, 0.02296875, 0.006406250000000002, 0.018749999999999996, 0.017031250000000005]"
1,M,magic,"[2, 4, 9, 11, 15, 16, 18, 19]",8,-0.009902343750000011,0.009503031999709357,-0.0012377929687500014,0.0011878789999636697,5,"[-0.025390625000000014, -0.004296875000000001, 0.0030273437499999884, -0.009375000000000005, -0.013476562500000022]","[-0.0031738281250000017, -0.0005371093750000002, 0.00037841796874999855, -0.0011718750000000006, -0.0016845703125000027]"
1,X,mix,"[6, 7, 13, 14]",4,0.0371875,0.04640809129343717,0.009296875,0.011602022823359292,5,"[-0.04999999999999999, 0.0625, 0.0328125, 0.08281249999999997, 0.057812499999999996]","[-0.012499999999999997, 0.015625, 0.008203125, 0.020703124999999992, 0.014453124999999999]"
8,E,entanglement,"[5, 8, 10, 12, 17]",5,0.06091796875000001,0.019551688524777632,0.012183593750000003,0.003910337704955528,5,"[0.036816406249999996, 0.05449218750000003, 0.08681640624999996, 0.08066406250000001, 0.04580078125000002]","[0.007363281249999999, 0.010898437500000007, 0.017363281249999994, 0.016132812500000003, 0.009160156250000004]"
8,M,magic,"[2, 4, 9, 11, 15, 16, 18, 19]",8,0.00800537109375,0.006238126921252624,0.00100067138671875,0.000779765865156578,5,"[0.004150390624999986, 0.0004394531249999889, 0.014941406249999997, 0.004577636718750028, 0.015917968749999997]","[0.0005187988281249983, 5.493164062499861e-05, 0.0018676757812499997, 0.0005722045898437535, 0.0019897460937499997]"
8,X,mix,"[6, 7, 13, 14]",4,0.0261328125,0.004873271929297104,0.006533203125,0.001218317982324276,5,"[0.026171874999999994, 0.03144531250000004, 0.031640625000000006, 0.021484375000000014, 0.019921874999999978]","[0.0065429687499999984, 0.00786132812500001, 0.007910156250000001, 0.0053710937500000035, 0.0049804687499999944]"
16,E,entanglement,"[5, 8, 10, 12, 17]",5,0.07201171875,0.015535645382983618,0.01440234375,0.003107129076596723,5,"[0.08505859375000001, 0.076025390625, 0.088623046875, 0.06459960937499998, 0.04575195312500002]","[0.01701171875, 0.015205078124999999, 0.017724609375, 0.012919921874999995, 0.009150390625000004]"
16,M,magic,"[2, 4, 9, 11, 15, 16, 18, 19]",8,0.007895507812499999,0.0042797190024033505,0.0009869384765624999,0.0005349648753004188,5,"[0.00686645507812501, 0.001184082031250015, 0.014166259765624963, 0.010223388671875003, 0.007037353515625002]","[0.0008583068847656263, 0.0001480102539062519, 0.0017707824707031204, 0.0012779235839843754, 0.0008796691894531253]"
16,X,mix,"[6, 7, 13, 14]",4,0.022050781250000005,0.009335733195986311,0.005512695312500001,0.0023339332989965778,5,"[0.00898437500000001, 0.03720703125000002, 0.023730468750000018, 0.016601562499999965, 0.023730468750000004]","[0.0022460937500000024, 0.009301757812500006, 0.0059326171875000045, 0.004150390624999991, 0.005932617187500001]"
32,E,entanglement,"[5, 8, 10, 12, 17]",5,0.06260742187499999,0.023989753244394355,0.012521484375,0.004797950648878872,5,"[0.03422851562499997, 0.073193359375, 0.0393310546875, 0.10009765625000003, 0.06618652343749998]","[0.006845703124999994, 0.014638671875, 0.0078662109375, 0.020019531250000007, 0.013237304687499996]"
32,M,magic,"[2, 4, 9, 11, 15, 16, 18, 19]",8,0.007017822265625006,0.0032479155164663247,0.0008772277832031258,0.0004059894395582906,5,"[0.010464477539062543, 0.000866699218750001, 0.008517456054687508, 0.0077850341796874755, 0.007455444335937502]","[0.0013080596923828178, 0.00010833740234375013, 0.0010646820068359385, 0.0009731292724609344, 0.0009319305419921878]"
32,X,mix,"[6, 7, 13, 14]",4,0.029179687500000006,0.0193266283225216,0.0072949218750000015,0.0048316570806304,5,"[0.0060546875000000305, 0.022167968750000017, 0.047607421874999986, 0.014111328125000006, 0.05595703125000001]","[0.0015136718750000076, 0.005541992187500004, 0.011901855468749997, 0.0035278320312500016, 0.013989257812500003]"
