partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
architecture,1,2,1,P,B1,feature map block 1,-0.0026562499999999976,0.022061703243403483,5,"[-0.02421874999999999, 0.010937500000000003, 0.029687500000000002, -1.0408340855860843e-17, -0.02968749999999999]"
architecture,1,4,3,P,B1,feature map block 1,0.018437499999999996,0.010441896529127265,5,"[0.0265625, 0.023437499999999986, 0.029687500000000002, 0.010156249999999986, 0.002343749999999997]"
architecture,1,5,4,CX,B1,feature map block 1,0.009374999999999998,0.025991096732823724,5,"[0.032812499999999994, 0.027343749999999993, -1.734723475976807e-18, 0.024218750000000004, -0.037500000000000006]"
architecture,1,6,5,P,B1,feature map block 1,0.0009375000000000008,0.009156303327489759,5,"[-0.00546875, 0.012500000000000002, 0.006249999999999996, -0.013281250000000001, 0.004687500000000008]"
architecture,1,7,6,CX,B1,feature map block 1,0.012499999999999997,0.015148999554426026,5,"[0.02578124999999999, -0.000781249999999999, -0.0078125, 0.013281249999999998, 0.03203125]"
architecture,1,8,7,H,B2,feature map block 2,0.008984375,0.0036830779894759867,5,"[0.007421875000000006, 0.012890625000000006, 0.010742187499999995, 0.0025390625000000066, 0.011328124999999988]"
architecture,1,9,8,P,B2,feature map block 2,-0.0026171875000000023,0.002874745233277206,5,"[0.0011718750000000006, -0.0058593750000000035, -0.0023437500000000003, -0.005859375000000009, -0.00019531249999999996]"
architecture,1,10,9,H,B2,feature map block 2,-0.0023828125000000004,0.005906580678573689,5,"[-0.013085937500000006, 0.004882812499999998, -0.0021484375000000036, -0.001757812499999994, 0.00019531250000000364]"
architecture,1,11,10,P,B2,feature map block 2,-0.0017187499999999968,0.009794800169046965,5,"[-0.013281249999999998, -0.009179687499999999, 0.007421875000000003, 0.012109374999999999, -0.005664062499999989]"
architecture,1,12,11,CX,B2,feature map block 2,0.0008203125000000007,0.005333712246468213,5,"[-0.006835937499999994, 0.008593750000000002, -0.0015625000000000005, -0.0007812500000000016, 0.004687499999999997]"
architecture,1,13,12,P,B2,feature map block 2,0.003242187500000003,0.002032001063068744,5,"[0.005664062500000002, 0.0009765625000000037, 0.003710937499999999, 0.005078125000000009, 0.0007812499999999994]"
architecture,1,14,13,CX,B2,feature map block 2,0.006093749999999999,0.006623829864233572,5,"[0.014062500000000007, 0.0019531249999999972, 0.007226562499999998, 0.011523437499999997, -0.004296875000000005]"
architecture,1,15,14,RY,C,trainable classifier,0.011093749999999996,0.018661248283542018,5,"[0.023437499999999993, -0.017968750000000006, 0.03749999999999999, 0.006249999999999997, 0.006249999999999999]"
architecture,1,16,15,RY,C,trainable classifier,0.009843750000000002,0.011055170594567952,5,"[0.020312499999999997, 0.01796874999999999, -0.010937499999999992, 0.010156250000000004, 0.011718750000000003]"
architecture,1,17,16,CX,C,trainable classifier,0.011718750000000003,0.012103072956898171,5,"[-0.004687499999999988, 0.028906249999999994, 0.004687500000000006, 0.0078125, 0.021875]"
