partition,K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
architecture,1,B1,feature map block 1,"[2, 4, 5, 6, 7]",5,0.038593749999999996,0.03560169193662009,0.007718749999999998,0.007120338387324017,5,"[0.05546874999999999, 0.07343749999999999, 0.0578125, 0.034374999999999975, -0.028124999999999997]","[0.011093749999999998, 0.014687499999999997, 0.0115625, 0.006874999999999995, -0.005625]"
architecture,1,B2,feature map block 2,"[8, 9, 10, 11, 12, 13, 14]",7,0.012421875000000002,0.01054224435381882,0.0017745535714285717,0.0015060349076884032,5,"[-0.0048828124999999774, 0.014257812500000005, 0.023046874999999988, 0.022851562500000006, 0.006835937499999992]","[-0.0006975446428571396, 0.0020368303571428577, 0.0032924107142857126, 0.0032645089285714296, 0.0009765624999999989]"
architecture,1,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.046875,0.021383998471403803,0.009374999999999998,0.00427679969428076,5,"[0.01874999999999999, 0.08437499999999999, 0.04375, 0.04921875000000002, 0.038281249999999996]","[0.0037499999999999977, 0.016874999999999998, 0.008749999999999999, 0.009843750000000004, 0.007656249999999999]"
architecture,8,B1,feature map block 1,"[2, 4, 5, 6, 7]",5,0.03593749999999999,0.01847959723359834,0.007187499999999998,0.0036959194467196675,5,"[0.03808593749999999, 0.03945312499999999, 0.03769531249999999, 0.003417968750000001, 0.06103515624999997]","[0.007617187499999999, 0.007890624999999998, 0.007539062499999997, 0.0006835937500000002, 0.012207031249999995]"
architecture,8,B2,feature map block 2,"[8, 9, 10, 11, 12, 13, 14]",7,0.020209960937499997,0.013477220602137954,0.0028871372767857134,0.0019253172288768504,5,"[0.004711914062499977, 0.02980957031249999, 0.006518554687499994, 0.039916992187500014, 0.020092773437500003]","[0.0006731305803571395, 0.004258510044642856, 0.0009312220982142848, 0.005702427455357145, 0.002870396205357143]"
architecture,8,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.03126953125000001,0.012939272551806056,0.006253906250000001,0.0025878545103612113,5,"[0.02949218750000001, 0.02216796875000001, 0.02744140625, 0.020898437500000026, 0.05634765624999999]","[0.005898437500000002, 0.004433593750000002, 0.00548828125, 0.0041796875000000054, 0.011269531249999997]"
architecture,16,B1,feature map block 1,"[2, 4, 5, 6, 7]",5,0.038427734374999994,0.014916268938327962,0.007685546875,0.002983253787665593,5,"[0.034716796875000004, 0.049755859375, 0.010839843749999974, 0.046191406250000004, 0.050634765624999994]","[0.006943359375000001, 0.009951171875000001, 0.0021679687499999946, 0.00923828125, 0.010126953125]"
architecture,16,B2,feature map block 2,"[8, 9, 10, 11, 12, 13, 14]",7,0.027907714843749994,0.004917748553108834,0.003986816406249999,0.0007025355075869764,5,"[0.03060302734374999, 0.027636718749999994, 0.030053710937500006, 0.018603515624999987, 0.03264160156249999]","[0.004371861049107141, 0.0039481026785714276, 0.004293387276785715, 0.002657645089285712, 0.004663085937499999]"
architecture,16,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.04708984374999999,0.0069932785461626484,0.00941796875,0.0013986557092325296,5,"[0.055224609375000004, 0.040673828125000006, 0.042529296875, 0.056005859374999994, 0.041015624999999986]","[0.011044921875, 0.008134765625000002, 0.008505859374999999, 0.011201171874999999, 0.008203124999999997]"
architecture,32,B1,feature map block 1,"[2, 4, 5, 6, 7]",5,0.03228515624999999,0.012966644851613916,0.0064570312499999975,0.002593328970322783,5,"[0.03251953124999998, 0.03361816406249999, 0.05314941406249998, 0.01235351562499999, 0.02978515625]","[0.006503906249999997, 0.006723632812499998, 0.010629882812499996, 0.002470703124999998, 0.00595703125]"
architecture,32,B2,feature map block 2,"[8, 9, 10, 11, 12, 13, 14]",7,0.028139648437499998,0.011914203580427506,0.004019949776785714,0.0017020290829182151,5,"[0.015472412109375, 0.041638183593749996, 0.019488525390625004, 0.020611572265624992, 0.04348754882812501]","[0.0022103445870535715, 0.005948311941964285, 0.002784075055803572, 0.0029445103236607133, 0.00621250697544643]"
architecture,32,C,trainable classifier,"[15, 16, 17, 18, 19]",5,0.043159179687499986,0.0007305314144244238,0.008631835937499999,0.00014610628288488502,5,"[0.042602539062499986, 0.04387207031250001, 0.0442138671875, 0.04260253906249996, 0.04250488281250001]","[0.008520507812499998, 0.008774414062500003, 0.0088427734375, 0.008520507812499991, 0.008500976562500002]"
