partition,K,gate_1_based,gate_0_based,gate_name,group,group_name,mean_owen,std_owen,num_runs,run_values
feature_interaction,1,2,1,P,L,local feature encoding,7.812499999999972e-05,0.01104688605020664,5,"[0.007031250000000003, -0.006640625, -0.0015625000000000018, -0.015234375000000003, 0.016796875]"
feature_interaction,1,4,3,P,L,local feature encoding,0.011640624999999996,0.00830627116250126,5,"[-0.000781250000000005, 0.012109375000000002, 0.022656249999999996, 0.006249999999999992, 0.01796874999999999]"
feature_interaction,1,5,4,CX,XFE,cross-feature entangling motifs,0.009687500000000002,0.011314377433988585,5,"[-0.008203125000000004, 0.0078125, 0.014843750000000001, 0.026562500000000013, 0.007421874999999995]"
feature_interaction,1,6,5,P,XFE,cross-feature entangling motifs,-0.019140625,0.022394773472983603,5,"[-0.008593749999999994, -0.014453125, -0.036328125000000024, -0.050390625, 0.014062500000000002]"
feature_interaction,1,7,6,CX,XFE,cross-feature entangling motifs,0.002890624999999997,0.014317565288178367,5,"[-0.012890625000000003, 0.011718750000000002, -0.016015625000000012, 0.014062499999999997, 0.017578125000000003]"
feature_interaction,1,8,7,H,L,local feature encoding,0.038828125,0.0153204698646941,5,"[0.012890624999999992, 0.030078124999999994, 0.052734375, 0.051953124999999996, 0.046484374999999994]"
feature_interaction,1,9,8,P,L,local feature encoding,-0.0010937500000000014,0.012106602505193189,5,"[0.021484374999999997, -0.01015625, -0.012890625000000003, -0.0015625000000000023, -0.0023437499999999986]"
feature_interaction,1,10,9,H,L,local feature encoding,0.030859375,0.008814632942230208,5,"[0.03906249999999998, 0.018359374999999997, 0.026953125, 0.04257812500000001, 0.02734375000000001]"
feature_interaction,1,11,10,P,L,local feature encoding,-0.0017187500000000015,0.008902822805506687,5,"[0.007031249999999992, 0.0007812499999999955, -0.008593749999999999, -0.015234374999999996, 0.007421874999999997]"
feature_interaction,1,12,11,CX,XFE,cross-feature entangling motifs,0.011953124999999998,0.01877699879090772,5,"[0.00976562499999999, 0.037890625000000004, 0.021484374999999997, 0.010156249999999995, -0.019531249999999993]"
feature_interaction,1,13,12,P,XFE,cross-feature entangling motifs,0.008046874999999995,0.009646460450276567,5,"[0.00039062499999999514, -0.0019531250000000065, 0.015625, 0.02304687499999999, 0.0031249999999999954]"
