partition,K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
qubit_role,1,Q0,q0 local readout path,"[2, 8, 9, 15, 18]",5,0.054296875,0.029472908640817936,0.010859374999999996,0.005894581728163587,5,"[0.09921875000000002, 0.015625, 0.05820312499999999, 0.02968749999999997, 0.06874999999999998]","[0.019843750000000004, 0.003125, 0.011640624999999998, 0.005937499999999994, 0.013749999999999995]"
qubit_role,1,Q1,q1 local hidden path,"[4, 6, 10, 11, 13, 16]",6,0.0362109375,0.008474492114667546,0.00603515625,0.001412415352444591,5,"[0.04238281249999999, 0.020312500000000018, 0.04257812500000002, 0.04121093749999999, 0.034570312499999964]","[0.007063802083333332, 0.00338541666666667, 0.00709635416666667, 0.0068684895833333315, 0.005761718749999994]"
qubit_role,1,2Q,two-qubit couplers,"[5, 7, 12, 14, 17]",5,0.027421875000000002,0.021472866235670542,0.005484375,0.004294573247134108,5,"[0.041406250000000006, 0.012499999999999997, 0.0019531249999999913, 0.019531250000000007, 0.061718749999999996]","[0.00828125, 0.0024999999999999996, 0.0003906249999999983, 0.003906250000000002, 0.012343749999999999]"
qubit_role,1,Q1F,final q1 post-readout rotation,[19],1,-0.0325,0.05382262535402745,-0.0325,0.05382262535402745,5,"[-0.006250000000000019, -0.012500000000000004, -0.09999999999999996, 0.04375, -0.08750000000000001]","[-0.006250000000000019, -0.012500000000000004, -0.09999999999999996, 0.04375, -0.08750000000000001]"
qubit_role,8,Q0,q0 local readout path,"[2, 8, 9, 15, 18]",5,0.033632812500000005,0.028569692695201356,0.0067265625,0.005713938539040272,5,"[0.08198242187499999, 0.008447265625000014, 0.012353515625000012, 0.05078124999999999, 0.014599609374999987]","[0.016396484375, 0.0016894531250000028, 0.0024707031250000024, 0.010156249999999999, 0.0029199218749999976]"
qubit_role,8,Q1,q1 local hidden path,"[4, 6, 10, 11, 13, 16]",6,0.0319287109375,0.004692009346317706,0.005321451822916668,0.0007820015577196176,5,"[0.037963867187500014, 0.025122070312499994, 0.03571777343750001, 0.032470703125, 0.028369140624999983]","[0.006327311197916669, 0.004187011718749999, 0.005952962239583335, 0.005411783854166667, 0.004728190104166664]"
qubit_role,8,2Q,two-qubit couplers,"[5, 7, 12, 14, 17]",5,0.021865234375000004,0.007654493480745628,0.004373046875000001,0.0015308986961491257,5,"[0.02221679687500001, 0.013916015624999997, 0.01459960937500001, 0.03505859375, 0.02353515625]","[0.004443359375000002, 0.0027832031249999992, 0.002919921875000002, 0.00701171875, 0.00470703125]"
qubit_role,8,Q1F,final q1 post-readout rotation,[19],1,0.00015624999999999943,0.013900103978927632,0.00015624999999999943,0.013900103978927632,5,"[-0.019531249999999986, 0.008593750000000004, -0.010937499999999996, 0.003124999999999982, 0.019531249999999993]","[-0.019531249999999986, 0.008593750000000004, -0.010937499999999996, 0.003124999999999982, 0.019531249999999993]"
qubit_role,16,Q0,q0 local readout path,"[2, 8, 9, 15, 18]",5,0.0498291015625,0.007352776357262081,0.0099658203125,0.001470555271452416,5,"[0.06074218750000002, 0.05073242187500002, 0.052099609374999994, 0.04758300781249999, 0.03798828124999999]","[0.012148437500000003, 0.010146484375000004, 0.010419921874999998, 0.009516601562499998, 0.0075976562499999985]"
qubit_role,16,Q1,q1 local hidden path,"[4, 6, 10, 11, 13, 16]",6,0.032165527343749986,0.002931629808623239,0.0053609212239583304,0.0004886049681038732,5,"[0.033166503906249964, 0.03380126953125001, 0.034155273437499994, 0.026342773437499998, 0.03336181640624997]","[0.00552775065104166, 0.0056335449218750016, 0.005692545572916666, 0.004390462239583333, 0.0055603027343749944]"
qubit_role,16,2Q,two-qubit couplers,"[5, 7, 12, 14, 17]",5,0.025405273437499997,0.008236258304074767,0.0050810546875,0.0016472516608149533,5,"[0.024291992187499993, 0.025317382812500008, 0.011035156249999983, 0.03544921875, 0.030932617187500018]","[0.004858398437499999, 0.005063476562500001, 0.0022070312499999968, 0.00708984375, 0.0061865234375000034]"
qubit_role,16,Q1F,final q1 post-readout rotation,[19],1,-0.007812500000000003,0.010147231572884814,-0.007812500000000003,0.010147231572884814,5,"[0.004296875000000019, -0.025000000000000043, -0.00039062500000000555, -0.01171875, -0.006249999999999992]","[0.004296875000000019, -0.025000000000000043, -0.00039062500000000555, -0.01171875, -0.006249999999999992]"
qubit_role,32,Q0,q0 local readout path,"[2, 8, 9, 15, 18]",5,0.05938964843750002,0.014253540235081718,0.011877929687500002,0.0028507080470163444,5,"[0.060485839843750014, 0.04498291015625, 0.08240966796875002, 0.06525878906250002, 0.043811035156250004]","[0.012097167968750003, 0.00899658203125, 0.016481933593750005, 0.013051757812500004, 0.00876220703125]"
qubit_role,32,Q1,q1 local hidden path,"[4, 6, 10, 11, 13, 16]",6,0.032091064453125,0.009469944201912292,0.0053485107421875,0.0015783240336520483,5,"[0.03172607421875, 0.04538574218750001, 0.017950439453124988, 0.026745605468750003, 0.03864746093749998]","[0.005287679036458333, 0.007564290364583334, 0.0029917399088541644, 0.004457600911458334, 0.006441243489583331]"
qubit_role,32,2Q,two-qubit couplers,"[5, 7, 12, 14, 17]",5,0.030954589843749998,0.004945004325533097,0.006190917968749999,0.0009890008651066197,5,"[0.037463378906250004, 0.02486572265625, 0.033020019531249986, 0.033923339843750004, 0.025500488281249994]","[0.007492675781250001, 0.004973144531249999, 0.006604003906249998, 0.006784667968750001, 0.005100097656249998]"
qubit_role,32,Q1F,final q1 post-readout rotation,[19],1,-0.0011328125000000077,0.005062174468700427,-0.0011328125000000077,0.005062174468700427,5,"[0.006249999999999964, 0.0005859375000000361, -0.006445312500000015, -0.0072265625000000056, 0.001171874999999982]","[0.006249999999999964, 0.0005859375000000361, -0.006445312500000015, -0.0072265625000000056, 0.001171874999999982]"
