K,group,group_name,gates_1_based,num_gates,mean_group_total,std_group_total,mean_group_mean_per_gate,std_group_mean_per_gate,num_runs,group_total_run_values,group_mean_per_gate_run_values
1,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.027929687499999994,0.01732323885687048,0.003989955357142856,0.0024747484081243543,5,"[0.03339843749999998, 0.0115234375, 0.016601562500000007, 0.05937499999999998, 0.018749999999999992]","[0.004771205357142855, 0.0016462053571428571, 0.002371651785714287, 0.008482142857142855, 0.0026785714285714273]"
1,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.05062499999999999,0.020359920608575575,0.008437499999999999,0.0033933201014292634,5,"[0.035937499999999976, 0.08085937500000002, 0.021484374999999986, 0.056640625, 0.058203124999999994]","[0.005989583333333329, 0.013476562500000004, 0.0035807291666666644, 0.009440104166666666, 0.009700520833333332]"
1,X,mix,"[6, 13, 15, 16]",4,-0.0009375000000000119,0.036877648209993,-0.00023437500000000297,0.00921941205249825,5,"[0.035937499999999956, -0.029687500000000006, -0.034375000000000024, 0.05156250000000001, -0.028124999999999997]","[0.008984374999999989, -0.007421875000000001, -0.008593750000000006, 0.012890625000000003, -0.007031249999999999]"
8,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.03342285156249999,0.009629743125714005,0.004774693080357141,0.0013756775893877147,5,"[0.025195312499999983, 0.026416015625, 0.03193359375, 0.051904296874999964, 0.0316650390625]","[0.0035993303571428548, 0.003773716517857143, 0.0045619419642857146, 0.007414899553571423, 0.004523577008928571]"
8,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.06425781249999998,0.00891099234692374,0.010709635416666665,0.001485165391153957,5,"[0.06777343749999998, 0.070068359375, 0.052294921875, 0.07568359374999997, 0.05546875]","[0.011295572916666663, 0.011678059895833334, 0.008715820312499999, 0.012613932291666663, 0.009244791666666667]"
8,X,mix,"[6, 13, 15, 16]",4,-0.001757812499999996,0.03235238222669527,-0.000439453124999999,0.008088095556673818,5,"[0.003710937500000006, 0.024609375000000024, -0.05664062499999999, -0.015039062500000032, 0.03457031250000002]","[0.0009277343750000015, 0.006152343750000006, -0.014160156249999998, -0.003759765625000008, 0.008642578125000005]"
16,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.03137939453125001,0.014351770041288415,0.004482770647321428,0.002050252863041202,5,"[0.035986328124999994, 0.0306884765625, 0.05213623046875002, 0.03072509765624998, 0.007360839843750014]","[0.005140904017857142, 0.004384068080357143, 0.007448032924107145, 0.004389299665178569, 0.001051548549107145]"
16,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.0647265625,0.011058394279014977,0.010787760416666667,0.0018430657131691625,5,"[0.06418457031250001, 0.04462890625000002, 0.06621093750000001, 0.07102050781250002, 0.07758789062499998]","[0.010697428385416667, 0.00743815104166667, 0.011035156250000002, 0.011836751302083337, 0.012931315104166662]"
16,X,mix,"[6, 13, 15, 16]",4,0.014570312499999988,0.017998065420670055,0.003642578124999997,0.004499516355167514,5,"[0.02158203124999998, -0.013769531250000031, 0.02080078124999997, 0.039648437500000015, 0.0045898437500000045]","[0.005395507812499995, -0.0034423828125000077, 0.005200195312499992, 0.009912109375000004, 0.0011474609375000011]"
32,E,entanglement,"[5, 7, 8, 10, 12, 14, 17]",7,0.028005371093750002,0.011235354215048841,0.004000767299107143,0.0016050506021498343,5,"[0.024725341796875, 0.011273193359375034, 0.024438476562499995, 0.04478149414062501, 0.03480834960937498]","[0.0035321916852678573, 0.0016104561941964334, 0.0034912109374999993, 0.0063973563058035724, 0.004972621372767855]"
32,M,magic,"[2, 4, 9, 11, 18, 19]",6,0.05366943359374998,0.003667611426680555,0.008944905598958332,0.0006112685711134261,5,"[0.047912597656250014, 0.051452636718750014, 0.058239746093749975, 0.05424804687499998, 0.05649414062499995]","[0.007985432942708336, 0.008575439453125002, 0.00970662434895833, 0.009041341145833331, 0.009415690104166659]"
32,X,mix,"[6, 13, 15, 16]",4,0.007958984375,0.019336726625311537,0.00198974609375,0.004834181656327884,5,"[0.005322265624999973, 0.024023437500000015, -0.02080078125000003, -0.0025390624999999944, 0.03378906250000003]","[0.0013305664062499933, 0.006005859375000004, -0.005200195312500007, -0.0006347656249999986, 0.008447265625000007]"
