r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c
2,2-4-5-6-7-9-11-12-13-14,2-4-5-6-7-9-11-12-13-14,1-2-3-4-5-6-7-8-9-10-11-12-13-14,10,14,0.986,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,empty,,1-3-8-10,0,4,0.5,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2,2,1-2-3-8-10,1,5,0.531,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4,2-4,1-2-3-4-8-10,2,6,0.74,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-9-11-12-13,2-4-5-6-7-9-11-12-13,1-2-3-4-5-6-7-8-9-10-11-12-13,9,13,0.986,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-9-11-12-14,2-4-5-6-7-9-11-12-14,1-2-3-4-5-6-7-8-9-10-11-12-14,9,13,0.711,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-9-11-13,2-4-5-6-7-9-11-13,1-2-3-4-5-6-7-8-9-10-11-13,8,12,0.716,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-9-11-13-14,2-4-5-6-7-9-11-13-14,1-2-3-4-5-6-7-8-9-10-11-13-14,9,13,0.716,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-9-12-13-14,2-4-5-6-7-9-12-13-14,1-2-3-4-5-6-7-8-9-10-12-13-14,9,13,0.948,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-11-12-13-14,2-4-5-6-7-11-12-13-14,1-2-3-4-5-6-7-8-10-11-12-13-14,9,13,0.835,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-7-12-13-14,2-4-5-6-7-12-13-14,1-2-3-4-5-6-7-8-10-12-13-14,8,12,0.83,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-11-12-13,2-4-5-6-9-11-12-13,1-2-3-4-5-6-8-9-10-11-12-13,8,12,0.892,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-11-12-13-14,2-4-5-6-9-11-12-13-14,1-2-3-4-5-6-8-9-10-11-12-13-14,9,13,0.892,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-11-13,2-4-5-6-9-11-13,1-2-3-4-5-6-8-9-10-11-13,7,11,0.661,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-6-9-11-13-14,2-4-5-6-9-11-13-14,1-2-3-4-5-6-8-9-10-11-13-14,8,12,0.661,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-11,2-4-5-7-9-11,1-2-3-4-5-7-8-9-10-11,6,10,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-11-12,2-4-5-7-9-11-12,1-2-3-4-5-7-8-9-10-11-12,7,11,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-11-12-13-14,2-4-5-7-9-11-12-13-14,1-2-3-4-5-7-8-9-10-11-12-13-14,9,13,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-11-12-14,2-4-5-7-9-11-12-14,1-2-3-4-5-7-8-9-10-11-12-14,8,12,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-11-14,2-4-5-7-9-11-14,1-2-3-4-5-7-8-9-10-11-14,7,11,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-9-12-14,2-4-5-7-9-12-14,1-2-3-4-5-7-8-9-10-12-14,7,11,0.659,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-11-12-14,2-4-5-7-11-12-14,1-2-3-4-5-7-8-10-11-12-14,7,11,0.618,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-7-12-14,2-4-5-7-12-14,1-2-3-4-5-7-8-10-12-14,6,10,0.74,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-11,2-4-5-9-11,1-2-3-4-5-8-9-10-11,5,9,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-11-12,2-4-5-9-11-12,1-2-3-4-5-8-9-10-11-12,6,10,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-11-12-14,2-4-5-9-11-12-14,1-2-3-4-5-8-9-10-11-12-14,7,11,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-5-9-11-14,2-4-5-9-11-14,1-2-3-4-5-8-9-10-11-14,6,10,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-11-12-13,2-4-6-7-9-11-12-13,1-2-3-4-6-7-8-9-10-11-12-13,8,12,0.634,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-11-12-13-14,2-4-6-7-9-11-12-13-14,1-2-3-4-6-7-8-9-10-11-12-13-14,9,13,0.634,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-11-13,2-4-6-7-9-11-13,1-2-3-4-6-7-8-9-10-11-13,7,11,0.718,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-7-9-11-13-14,2-4-6-7-9-11-13-14,1-2-3-4-6-7-8-9-10-11-13-14,8,12,0.718,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11,2-4-6-9-11,1-2-3-4-6-8-9-10-11,5,9,0.717,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11-12-13,2-4-6-9-11-12-13,1-2-3-4-6-8-9-10-11-12-13,7,11,0.585,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11-12-13-14,2-4-6-9-11-12-13-14,1-2-3-4-6-8-9-10-11-12-13-14,8,12,0.585,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11-13,2-4-6-9-11-13,1-2-3-4-6-8-9-10-11-13,6,10,0.708,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-11-13-14,2-4-6-9-11-13-14,1-2-3-4-6-8-9-10-11-13-14,7,11,0.708,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-9-13,2-4-6-9-13,1-2-3-4-6-8-9-10-13,5,9,0.691,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-11-13,2-4-6-11-13,1-2-3-4-6-8-10-11-13,5,9,0.6,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-6-13,2-4-6-13,1-2-3-4-6-8-10-13,4,8,0.684,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-11,2-4-7-9-11,1-2-3-4-7-8-9-10-11,5,9,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-11-12,2-4-7-9-11-12,1-2-3-4-7-8-9-10-11-12,6,10,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-11-12-14,2-4-7-9-11-12-14,1-2-3-4-7-8-9-10-11-12-14,7,11,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-7-9-11-14,2-4-7-9-11-14,1-2-3-4-7-8-9-10-11-14,6,10,0.65,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9,2-4-9,1-2-3-4-8-9-10,3,7,0.659,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11,2-4-9-11,1-2-3-4-8-9-10-11,4,8,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11-12,2-4-9-11-12,1-2-3-4-8-9-10-11-12,5,9,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11-12-14,2-4-9-11-12-14,1-2-3-4-8-9-10-11-12-14,6,10,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11-13,2-4-9-11-13,1-2-3-4-8-9-10-11-13,5,9,0.649,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-9-11-14,2-4-9-11-14,1-2-3-4-8-9-10-11-14,5,9,0.616,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-4-11,2-4-11,1-2-3-4-8-10-11,3,7,0.618,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-9-11-12-13-14,2-5-6-7-9-11-12-13-14,1-2-3-5-6-7-8-9-10-11-12-13-14,9,13,0.846,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-9-12-13-14,2-5-6-7-9-12-13-14,1-2-3-5-6-7-8-9-10-12-13-14,8,12,0.681,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-11-12-13-14,2-5-6-7-11-12-13-14,1-2-3-5-6-7-8-10-11-12-13-14,8,12,0.745,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-6-7-12-13-14,2-5-6-7-12-13-14,1-2-3-5-6-7-8-10-12-13-14,7,11,0.569,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-7-9-11-12-14,2-5-7-9-11-12-14,1-2-3-5-7-8-9-10-11-12-14,7,11,0.706,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-7-9-12-14,2-5-7-9-12-14,1-2-3-5-7-8-9-10-12-14,6,10,0.706,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-7-11-12-14,2-5-7-11-12-14,1-2-3-5-7-8-10-11-12-14,6,10,0.531,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-5-7-12-14,2-5-7-12-14,1-2-3-5-7-8-10-12-14,5,9,0.531,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-6-9-11-13,2-6-9-11-13,1-2-3-6-8-9-10-11-13,5,9,0.657,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-6-9-13,2-6-9-13,1-2-3-6-8-9-10-13,4,8,0.717,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-6-11-13,2-6-11-13,1-2-3-6-8-10-11-13,4,8,0.653,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-6-13,2-6-13,1-2-3-6-8-10-13,3,7,0.603,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-9,2-9,1-2-3-8-9-10,2,6,0.706,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-9-11,2-9-11,1-2-3-8-9-10-11,3,7,0.706,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,2-11,2-11,1-2-3-8-10-11,2,6,0.531,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
2,4,4,1-3-4-8-10,1,5,0.557,0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0
