r,subset_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
3,empty,,1-3-8-10-15-17,0,6,0.5,0
3,11,11,1-3-8-10-11-15-17,1,7,0.5,0
3,12,12,1-3-8-10-12-15-17,1,7,0.5,0
3,13,13,1-3-8-10-13-15-17,1,7,0.5,0
3,14,14,1-3-8-10-14-15-17,1,7,0.5,0
3,16,16,1-3-8-10-15-16-17,1,7,0.531,0
3,18,18,1-3-8-10-15-17-18,1,7,0.557,0
3,19,19,1-3-8-10-15-17-19,1,7,0.5,0
3,2,2,1-2-3-8-10-15-17,1,7,0.531,0
3,20,20,1-3-8-10-15-17-20,1,7,0.547,0
3,21,21,1-3-8-10-15-17-21,1,7,0.5,0
3,4,4,1-3-4-8-10-15-17,1,7,0.557,0
3,5,5,1-3-5-8-10-15-17,1,7,0.5,0
3,6,6,1-3-6-8-10-15-17,1,7,0.547,0
3,7,7,1-3-7-8-10-15-17,1,7,0.5,0
3,9,9,1-3-8-9-10-15-17,1,7,0.5,0
3,11-12,11-12,1-3-8-10-11-12-15-17,2,8,0.5,0
3,11-13,11-13,1-3-8-10-11-13-15-17,2,8,0.5,0
3,11-14,11-14,1-3-8-10-11-14-15-17,2,8,0.5,0
3,11-16,11-16,1-3-8-10-11-15-16-17,2,8,0.531,0
3,11-18,11-18,1-3-8-10-11-15-17-18,2,8,0.557,0
3,11-19,11-19,1-3-8-10-11-15-17-19,2,8,0.5,0
3,11-20,11-20,1-3-8-10-11-15-17-20,2,8,0.547,0
3,11-21,11-21,1-3-8-10-11-15-17-21,2,8,0.5,0
3,12-13,12-13,1-3-8-10-12-13-15-17,2,8,0.5,0
3,12-14,12-14,1-3-8-10-12-14-15-17,2,8,0.5,0
3,12-16,12-16,1-3-8-10-12-15-16-17,2,8,0.531,0
3,12-18,12-18,1-3-8-10-12-15-17-18,2,8,0.557,0
3,12-19,12-19,1-3-8-10-12-15-17-19,2,8,0.5,0
3,12-20,12-20,1-3-8-10-12-15-17-20,2,8,0.547,0
3,12-21,12-21,1-3-8-10-12-15-17-21,2,8,0.5,0
3,13-14,13-14,1-3-8-10-13-14-15-17,2,8,0.5,0
3,13-16,13-16,1-3-8-10-13-15-16-17,2,8,0.531,0
3,13-18,13-18,1-3-8-10-13-15-17-18,2,8,0.557,0
3,13-19,13-19,1-3-8-10-13-15-17-19,2,8,0.5,0
3,13-20,13-20,1-3-8-10-13-15-17-20,2,8,0.547,0
3,13-21,13-21,1-3-8-10-13-15-17-21,2,8,0.5,0
3,14-16,14-16,1-3-8-10-14-15-16-17,2,8,0.531,0
3,14-18,14-18,1-3-8-10-14-15-17-18,2,8,0.557,0
3,14-19,14-19,1-3-8-10-14-15-17-19,2,8,0.5,0
3,14-20,14-20,1-3-8-10-14-15-17-20,2,8,0.547,0
3,14-21,14-21,1-3-8-10-14-15-17-21,2,8,0.5,0
3,16-18,16-18,1-3-8-10-15-16-17-18,2,8,0.74,0
3,16-19,16-19,1-3-8-10-15-16-17-19,2,8,0.531,0
3,16-20,16-20,1-3-8-10-15-16-17-20,2,8,0.551,0
3,16-21,16-21,1-3-8-10-15-16-17-21,2,8,0.531,0
3,18-19,18-19,1-3-8-10-15-17-18-19,2,8,0.557,0
3,18-20,18-20,1-3-8-10-15-17-18-20,2,8,0.661,0
3,18-21,18-21,1-3-8-10-15-17-18-21,2,8,0.557,0
3,19-20,19-20,1-3-8-10-15-17-19-20,2,8,0.547,0
3,19-21,19-21,1-3-8-10-15-17-19-21,2,8,0.5,0
3,2-11,2-11,1-2-3-8-10-11-15-17,2,8,0.531,0
3,2-12,2-12,1-2-3-8-10-12-15-17,2,8,0.531,0
3,2-13,2-13,1-2-3-8-10-13-15-17,2,8,0.531,0
3,2-14,2-14,1-2-3-8-10-14-15-17,2,8,0.531,0
3,2-16,2-16,1-2-3-8-10-15-16-17,2,8,0.705,0
3,2-18,2-18,1-2-3-8-10-15-17-18,2,8,0.74,0
3,2-19,2-19,1-2-3-8-10-15-17-19,2,8,0.531,0
3,2-20,2-20,1-2-3-8-10-15-17-20,2,8,0.551,0
3,2-21,2-21,1-2-3-8-10-15-17-21,2,8,0.531,0
3,2-4,2-4,1-2-3-4-8-10-15-17,2,8,0.74,0
3,2-5,2-5,1-2-3-5-8-10-15-17,2,8,0.531,0
3,2-6,2-6,1-2-3-6-8-10-15-17,2,8,0.551,0
3,2-7,2-7,1-2-3-7-8-10-15-17,2,8,0.531,0
