r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
3,1,H,passive,,,0.913,0.5,0
3,2,P,M,local_P,0.061472222222222234,0.913,0.5,0
3,3,H,passive,,,0.913,0.5,0
3,4,P,M,local_P,0.00718611111111111,0.913,0.5,0
3,5,CX,E,,0.03052777777777778,0.913,0.5,0
3,6,P,X,cross_P,0.09722222222222221,0.913,0.5,0
3,7,CX,E,,0.022527777777777765,0.913,0.5,0
3,8,H,passive,,,0.913,0.5,0
3,9,P,M,local_P,0.015119444444444451,0.913,0.5,0
3,10,H,passive,,,0.913,0.5,0
3,11,P,M,local_P,0.0007305555555555477,0.913,0.5,0
3,12,CX,E,,0.05211111111111111,0.913,0.5,0
3,13,P,X,cross_P,0.04047222222222223,0.913,0.5,0
3,14,CX,E,,0.003083333333333335,0.913,0.5,0
3,15,H,passive,,,0.913,0.5,0
3,16,P,M,local_P,0.02498055555555553,0.913,0.5,0
3,17,H,passive,,,0.913,0.5,0
3,18,P,M,local_P,0.007344444444444445,0.913,0.5,0
3,19,CX,E,,0.0020833333333333333,0.913,0.5,0
3,20,P,X,cross_P,0.0481388888888889,0.913,0.5,0
3,21,CX,E,,0.0,0.913,0.5,0
