r,train_path,test_path,data_index,train_shape,test_shape,full_accuracy,empty_active_accuracy,partition,passive_gates,number_of_exact_owen_value_evaluations,number_of_all_subset_distribution_evaluations,runtime_seconds,target_accuracy,obtained_accuracy,absolute_difference_from_target,efficiency_gap,convention,svc_c,cache_path,simulator_validation
1,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,0,"[40, 2]","[1000, 2]",0.842,0.5,"{'E': [5, 7], 'M': [2, 4], 'X': [6]}","[1, 3]",24,0,0.9032669067382812,0.842,0.842,0.0,0.0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_0/r1/qsvm_value_cache.csv,"{'r': 1, 'num_points': 8, 'num_checked_subsets': 8, 'max_abs_difference': 6.206335383118183e-17, 'max_infidelity': 1.1102230246251565e-15}"
2,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,0,"[40, 2]","[1000, 2]",0.986,0.5,"{'E': [5, 7, 12, 14], 'M': [2, 4, 9, 11], 'X': [6, 13]}","[1, 3, 8, 10]",128,0,0.2894458770751953,0.986,0.986,0.0,0.0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_0/r2/qsvm_value_cache.csv,"{'r': 2, 'num_points': 8, 'num_checked_subsets': 12, 'max_abs_difference': 1.8213770420226047e-16, 'max_infidelity': 2.4424906541753444e-15}"
3,data/qsvm-traindata-0.csv,data/qsvm-testdata-0.csv,0,"[40, 2]","[1000, 2]",0.913,0.5,"{'E': [5, 7, 12, 14, 19, 21], 'M': [2, 4, 9, 11, 16, 18], 'X': [6, 13, 20]}","[1, 3, 8, 10, 15, 17]",528,0,0.6206650733947754,0.913,0.913,0.0,-5.551115123125783e-17,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_0/r3/qsvm_value_cache.csv,"{'r': 3, 'num_points': 8, 'num_checked_subsets': 10, 'max_abs_difference': 2.2887833992611187e-16, 'max_infidelity': 3.1086244689504383e-15}"
1,data/qsvm-traindata-1.csv,data/qsvm-testdata-1.csv,1,"[40, 2]","[1000, 2]",0.887,0.5,"{'E': [5, 7], 'M': [2, 4], 'X': [6]}","[1, 3]",24,0,0.20763683319091797,0.842,0.887,0.04500000000000004,0.0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_1/r1/qsvm_value_cache.csv,"{'r': 1, 'num_points': 8, 'num_checked_subsets': 8, 'max_abs_difference': 6.206335383118183e-17, 'max_infidelity': 1.1102230246251565e-15}"
2,data/qsvm-traindata-1.csv,data/qsvm-testdata-1.csv,1,"[40, 2]","[1000, 2]",0.999,0.5,"{'E': [5, 7, 12, 14], 'M': [2, 4, 9, 11], 'X': [6, 13]}","[1, 3, 8, 10]",128,0,0.28437209129333496,0.986,0.999,0.013000000000000012,-5.551115123125783e-17,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_1/r2/qsvm_value_cache.csv,"{'r': 2, 'num_points': 8, 'num_checked_subsets': 12, 'max_abs_difference': 1.8213770420226047e-16, 'max_infidelity': 2.4424906541753444e-15}"
3,data/qsvm-traindata-1.csv,data/qsvm-testdata-1.csv,1,"[40, 2]","[1000, 2]",0.781,0.5,"{'E': [5, 7, 12, 14, 19, 21], 'M': [2, 4, 9, 11, 16, 18], 'X': [6, 13, 20]}","[1, 3, 8, 10, 15, 17]",528,0,0.6572327613830566,0.913,0.781,0.132,0.0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_1/r3/qsvm_value_cache.csv,"{'r': 3, 'num_points': 8, 'num_checked_subsets': 10, 'max_abs_difference': 2.2887833992611187e-16, 'max_infidelity': 3.1086244689504383e-15}"
1,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,2,"[40, 2]","[1000, 2]",0.684,0.5,"{'E': [5, 7], 'M': [2, 4], 'X': [6]}","[1, 3]",24,0,0.1907949447631836,0.842,0.684,0.15799999999999992,-2.7755575615628914e-17,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_2/r1/qsvm_value_cache.csv,"{'r': 1, 'num_points': 8, 'num_checked_subsets': 8, 'max_abs_difference': 6.206335383118183e-17, 'max_infidelity': 1.1102230246251565e-15}"
2,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,2,"[40, 2]","[1000, 2]",0.996,0.5,"{'E': [5, 7, 12, 14], 'M': [2, 4, 9, 11], 'X': [6, 13]}","[1, 3, 8, 10]",128,0,0.3156759738922119,0.986,0.996,0.010000000000000009,0.0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_2/r2/qsvm_value_cache.csv,"{'r': 2, 'num_points': 8, 'num_checked_subsets': 12, 'max_abs_difference': 1.8213770420226047e-16, 'max_infidelity': 2.4424906541753444e-15}"
3,data/qsvm-traindata-2.csv,data/qsvm-testdata-2.csv,2,"[40, 2]","[1000, 2]",0.925,0.5,"{'E': [5, 7, 12, 14, 19, 21], 'M': [2, 4, 9, 11, 16, 18], 'X': [6, 13, 20]}","[1, 3, 8, 10, 15, 17]",528,0,0.6163780689239502,0.913,0.925,0.01200000000000001,-5.551115123125783e-17,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_2/r3/qsvm_value_cache.csv,"{'r': 3, 'num_points': 8, 'num_checked_subsets': 10, 'max_abs_difference': 2.2887833992611187e-16, 'max_infidelity': 3.1086244689504383e-15}"
1,data/qsvm-traindata-3.csv,data/qsvm-testdata-3.csv,3,"[40, 2]","[1000, 2]",0.767,0.5,"{'E': [5, 7], 'M': [2, 4], 'X': [6]}","[1, 3]",24,0,0.18467092514038086,0.842,0.767,0.07499999999999996,0.0,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,results/qsvm_owen_all_datasets/dataset_3/r1/qsvm_value_cache.csv,"{'r': 1, 'num_points': 8, 'num_checked_subsets': 8, 'max_abs_difference': 6.206335383118183e-17, 'max_infidelity': 1.1102230246251565e-15}"
