r,gate_index_1based,gate_name,group,gate_subtype,owen_value,full_accuracy,empty_active_accuracy,data_index
3,1,H,passive,,,0.925,0.5,2
3,2,P,M,local_P,0.05360277777777778,0.925,0.5,2
3,3,H,passive,,,0.925,0.5,2
3,4,P,M,local_P,0.07552499999999995,0.925,0.5,2
3,5,CX,E,,0.03811666666666667,0.925,0.5,2
3,6,P,X,cross_P,0.0663611111111111,0.925,0.5,2
3,7,CX,E,,0.03075555555555556,0.925,0.5,2
3,8,H,passive,,,0.925,0.5,2
3,9,P,M,local_P,0.024497222222222226,0.925,0.5,2
3,10,H,passive,,,0.925,0.5,2
3,11,P,M,local_P,0.02732500000000001,0.925,0.5,2
3,12,CX,E,,0.03989444444444444,0.925,0.5,2
3,13,P,X,cross_P,0.006444444444444449,0.925,0.5,2
3,14,CX,E,,-0.00455,0.925,0.5,2
3,15,H,passive,,,0.925,0.5,2
3,16,P,M,local_P,0.0158888888888889,0.925,0.5,2
3,17,H,passive,,,0.925,0.5,2
3,18,P,M,local_P,0.040161111111111106,0.925,0.5,2
3,19,CX,E,,-0.006716666666666657,0.925,0.5,2
3,20,P,X,cross_P,0.01769444444444444,0.925,0.5,2
3,21,CX,E,,0.0,0.925,0.5,2
