r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index,convention,svc_c,train_path,test_path,train_shape,test_shape,feature_columns,label_column,train_sha256,test_sha256
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,2-4-5-6-7-9-11-12-13-14-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,15,21,0.788,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,empty,,1-3-8-10-15-17,0,6,0.5,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2,2,1-2-3-8-10-15-17,1,7,0.514,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4,2-4,1-2-3-4-8-10-15-17,2,8,0.654,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-16-18-19-20,2-4-5-6-7-9-11-12-13-14-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,20,0.788,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-16-18-19-21,2-4-5-6-7-9-11-12-13-14-16-18-19-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21,14,20,0.753,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-16-18-20,2-4-5-6-7-9-11-12-13-14-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20,13,19,0.733,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-16-18-20-21,2-4-5-6-7-9-11-12-13-14-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21,14,20,0.733,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-16-19-20-21,2-4-5-6-7-9-11-12-13-14-16-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21,14,20,0.759,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-18-19-20-21,2-4-5-6-7-9-11-12-13-14-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21,14,20,0.73,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-14-19-20-21,2-4-5-6-7-9-11-12-13-14-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-19-20-21,13,19,0.744,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-16-18-19-20,2-4-5-6-7-9-11-12-13-16-18-19-20,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20,13,19,0.737,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-16-18-19-20-21,2-4-5-6-7-9-11-12-13-16-18-19-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-19-20-21,14,20,0.737,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-16-18-20,2-4-5-6-7-9-11-12-13-16-18-20,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-20,12,18,0.703,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
3,2-4-5-6-7-9-11-12-13-16-18-20-21,2-4-5-6-7-9-11-12-13-16-18-20-21,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-17-18-20-21,13,19,0.703,3,"cnot_0->1,cross_on_target,features_normal,sim_manual",1.0,/Users/iratimush/xqml-thesis/data/qsvm-traindata-3.csv,/Users/iratimush/xqml-thesis/data/qsvm-testdata-3.csv,40x2,1000x2,x0|x1,y,11a4200d0f8576ffc90cfffa6fc0f744b5b64ecfb31d3cdb0fe01cff8acd6526,a7fdb0e3521072fcd2014ee5bcb60723153274a70ace998b56349d7992ba2ca8
