r,coalition_key,active_gate_indices,included_gate_indices_total,n_active_gates,n_total_gates,value_accuracy,data_index
1,empty,,1-3,0,2,0.5,4
1,2,2,1-2-3,1,3,0.581,4
1,2-4,2-4,1-2-3-4,2,4,0.559,4
1,2-4-5,2-4-5,1-2-3-4-5,3,5,0.559,4
1,2-4-5-6,2-4-5-6,1-2-3-4-5-6,4,6,0.715,4
1,2-4-5-6-7,2-4-5-6-7,1-2-3-4-5-6-7,5,7,0.715,4
1,2-4-5-7,2-4-5-7,1-2-3-4-5-7,4,6,0.559,4
1,2-4-6,2-4-6,1-2-3-4-6,3,5,0.653,4
1,2-4-6-7,2-4-6-7,1-2-3-4-6-7,4,6,0.653,4
1,2-4-7,2-4-7,1-2-3-4-7,3,5,0.559,4
1,2-5-6-7,2-5-6-7,1-2-3-5-6-7,4,6,0.506,4
1,2-5-7,2-5-7,1-2-3-5-7,3,5,0.581,4
1,2-6,2-6,1-2-3-6,2,4,0.506,4
1,4,4,1-3-4,1,3,0.57,4
1,4-5-6-7,4-5-6-7,1-3-4-5-6-7,4,6,0.654,4
1,4-5-7,4-5-7,1-3-4-5-7,3,5,0.57,4
1,4-6,4-6,1-3-4-6,2,4,0.678,4
1,5,5,1-3-5,1,3,0.5,4
1,5-6,5-6,1-3-5-6,2,4,0.522,4
1,5-6-7,5-6-7,1-3-5-6-7,3,5,0.522,4
1,5-7,5-7,1-3-5-7,2,4,0.5,4
1,6,6,1-3-6,1,3,0.522,4
1,6-7,6-7,1-3-6-7,2,4,0.522,4
1,7,7,1-3-7,1,3,0.5,4
