partition_name,r,dataset_index,gate_index,group,gate_owen_value
feature_semantics,1,0,2,F1,0.11083333333333331
feature_semantics,1,0,4,F2,0.16533333333333333
feature_semantics,1,0,5,F12,0.032083333333333325
feature_semantics,1,0,6,F12,0.03375
feature_semantics,1,0,7,F12,0.0
repetition_blocks,1,0,2,B1,0.09141666666666666
repetition_blocks,1,0,4,B1,0.15041666666666664
repetition_blocks,1,0,5,B1,0.04924999999999999
repetition_blocks,1,0,6,B1,0.05091666666666668
repetition_blocks,1,0,7,B1,0.0
feature_semantics,1,1,2,F1,0.07933333333333333
feature_semantics,1,1,4,F2,0.1203333333333333
feature_semantics,1,1,5,F12,0.054
feature_semantics,1,1,6,F12,0.1333333333333334
feature_semantics,1,1,7,F12,0.0
repetition_blocks,1,1,2,B1,0.06883333333333333
repetition_blocks,1,1,4,B1,0.08783333333333332
repetition_blocks,1,1,5,B1,0.07550000000000001
repetition_blocks,1,1,6,B1,0.15483333333333338
repetition_blocks,1,1,7,B1,0.0
feature_semantics,1,2,2,F1,0.004666666666666679
feature_semantics,1,2,4,F2,0.16466666666666668
feature_semantics,1,2,5,F12,0.01350000000000001
feature_semantics,1,2,6,F12,0.0011666666666666787
feature_semantics,1,2,7,F12,0.0
repetition_blocks,1,2,2,B1,-0.0035833333333333247
repetition_blocks,1,2,4,B1,0.15841666666666668
repetition_blocks,1,2,5,B1,0.02075000000000002
repetition_blocks,1,2,6,B1,0.008416666666666682
repetition_blocks,1,2,7,B1,0.0
feature_semantics,1,3,2,F1,0.06683333333333333
feature_semantics,1,3,4,F2,0.13783333333333334
feature_semantics,1,3,5,F12,0.03249999999999999
feature_semantics,1,3,6,F12,0.029833333333333344
feature_semantics,1,3,7,F12,0.0
repetition_blocks,1,3,2,B1,0.047833333333333346
repetition_blocks,1,3,4,B1,0.12250000000000003
repetition_blocks,1,3,5,B1,0.04966666666666666
repetition_blocks,1,3,6,B1,0.04700000000000001
repetition_blocks,1,3,7,B1,0.0
feature_semantics,1,4,2,F1,0.04283333333333332
feature_semantics,1,4,4,F2,0.11133333333333331
feature_semantics,1,4,5,F12,0.008333333333333321
feature_semantics,1,4,6,F12,0.052500000000000005
feature_semantics,1,4,7,F12,0.0
repetition_blocks,1,4,2,B1,0.035666666666666645
repetition_blocks,1,4,4,B1,0.10816666666666669
repetition_blocks,1,4,5,B1,0.013499999999999984
repetition_blocks,1,4,6,B1,0.05766666666666667
repetition_blocks,1,4,7,B1,0.0
feature_semantics,2,0,2,F1,0.13616666666666666
feature_semantics,2,0,4,F2,0.08891666666666666
feature_semantics,2,0,5,F12,0.030627777777777775
feature_semantics,2,0,6,F12,0.08053055555555558
feature_semantics,2,0,7,F12,0.0016694444444444517
feature_semantics,2,0,9,F1,0.06583333333333333
feature_semantics,2,0,11,F2,0.0425833333333333
feature_semantics,2,0,12,F12,0.009530555555555556
feature_semantics,2,0,13,F12,0.03014166666666667
feature_semantics,2,0,14,F12,0.0
repetition_blocks,2,0,2,B1,0.10624166666666668
repetition_blocks,2,0,4,B1,0.11769999999999994
repetition_blocks,2,0,5,B1,0.06969999999999998
repetition_blocks,2,0,6,B1,0.10745000000000002
repetition_blocks,2,0,7,B1,0.01290833333333333
repetition_blocks,2,0,9,B2,-0.001208333333333339
repetition_blocks,2,0,11,B2,-0.013458333333333338
repetition_blocks,2,0,12,B2,0.05554166666666666
repetition_blocks,2,0,13,B2,0.031125000000000017
repetition_blocks,2,0,14,B2,0.0
feature_semantics,2,1,2,F1,0.09458333333333332
feature_semantics,2,1,4,F2,0.13033333333333333
feature_semantics,2,1,5,F12,0.0454111111111111
feature_semantics,2,1,6,F12,0.10675833333333327
feature_semantics,2,1,7,F12,0.020591666666666668
feature_semantics,2,1,9,F1,0.034249999999999975
feature_semantics,2,1,11,F2,0.038499999999999986
feature_semantics,2,1,12,F12,0.018091666666666673
feature_semantics,2,1,13,F12,0.010480555555555566
feature_semantics,2,1,14,F12,0.0
repetition_blocks,2,1,2,B1,0.09187499999999996
repetition_blocks,2,1,4,B1,0.11366666666666668
repetition_blocks,2,1,5,B1,0.08050000000000002
repetition_blocks,2,1,6,B1,0.13675000000000004
repetition_blocks,2,1,7,B1,0.020208333333333335
repetition_blocks,2,1,9,B2,-0.014666666666666654
repetition_blocks,2,1,11,B2,0.02058333333333332
repetition_blocks,2,1,12,B2,0.019666666666666662
repetition_blocks,2,1,13,B2,0.030416666666666675
repetition_blocks,2,1,14,B2,0.0
feature_semantics,2,2,2,F1,0.07091666666666666
feature_semantics,2,2,4,F2,0.20258333333333334
feature_semantics,2,2,5,F12,0.027044444444444433
feature_semantics,2,2,6,F12,0.043072222222222234
feature_semantics,2,2,7,F12,0.010572222222222219
feature_semantics,2,2,9,F1,0.0820833333333333
feature_semantics,2,2,11,F2,0.08191666666666667
feature_semantics,2,2,12,F12,-0.003844444444444423
feature_semantics,2,2,13,F12,-0.01834444444444443
feature_semantics,2,2,14,F12,0.0
repetition_blocks,2,2,2,B1,0.033216666666666686
repetition_blocks,2,2,4,B1,0.17409166666666667
repetition_blocks,2,2,5,B1,0.04017500000000001
repetition_blocks,2,2,6,B1,0.06350833333333333
repetition_blocks,2,2,7,B1,0.02900833333333333
repetition_blocks,2,2,9,B2,0.06191666666666665
repetition_blocks,2,2,11,B2,0.06583333333333333
repetition_blocks,2,2,12,B2,0.02316666666666667
repetition_blocks,2,2,13,B2,0.005083333333333338
repetition_blocks,2,2,14,B2,0.0
feature_semantics,2,3,2,F1,0.0973333333333333
feature_semantics,2,3,4,F2,0.14308333333333334
feature_semantics,2,3,5,F12,0.03318333333333333
feature_semantics,2,3,6,F12,0.05755833333333333
feature_semantics,2,3,7,F12,0.0008638888888888841
feature_semantics,2,3,9,F1,0.10566666666666666
feature_semantics,2,3,11,F2,0.042416666666666686
feature_semantics,2,3,12,F12,0.011947222222222215
feature_semantics,2,3,13,F12,0.0029472222222222313
feature_semantics,2,3,14,F12,0.0
repetition_blocks,2,3,2,B1,0.08346666666666666
repetition_blocks,2,3,4,B1,0.14084166666666664
repetition_blocks,2,3,5,B1,0.07259166666666667
repetition_blocks,2,3,6,B1,0.08184166666666667
repetition_blocks,2,3,7,B1,0.002258333333333329
repetition_blocks,2,3,9,B2,0.040249999999999994
repetition_blocks,2,3,11,B2,0.0017500000000000137
repetition_blocks,2,3,12,B2,0.05274999999999999
repetition_blocks,2,3,13,B2,0.01925
repetition_blocks,2,3,14,B2,0.0
feature_semantics,2,4,2,F1,0.11424999999999995
feature_semantics,2,4,4,F2,0.12425
feature_semantics,2,4,5,F12,0.01795277777777777
feature_semantics,2,4,6,F12,0.11864722222222225
feature_semantics,2,4,7,F12,-0.0007833333333333234
feature_semantics,2,4,9,F1,0.04024999999999999
feature_semantics,2,4,11,F2,0.03925
feature_semantics,2,4,12,F12,0.0039527777777777825
feature_semantics,2,4,13,F12,0.04223055555555556
feature_semantics,2,4,14,F12,0.0
repetition_blocks,2,4,2,B1,0.060300000000000006
repetition_blocks,2,4,4,B1,0.12859166666666666
repetition_blocks,2,4,5,B1,0.04109166666666665
repetition_blocks,2,4,6,B1,0.10500833333333331
repetition_blocks,2,4,7,B1,0.022508333333333345
repetition_blocks,2,4,9,B2,-0.0027499999999999894
repetition_blocks,2,4,11,B2,0.04016666666666666
repetition_blocks,2,4,12,B2,0.04308333333333333
repetition_blocks,2,4,13,B2,0.06200000000000001
repetition_blocks,2,4,14,B2,0.0
feature_semantics,3,0,2,F1,0.09125
feature_semantics,3,0,4,F2,0.05633333333333333
feature_semantics,3,0,5,F12,0.014183068783068783
feature_semantics,3,0,6,F12,0.05989001322751326
feature_semantics,3,0,7,F12,0.014337037037037044
feature_semantics,3,0,9,F1,0.04683333333333334
feature_semantics,3,0,11,F2,0.011
feature_semantics,3,0,12,F12,0.03562414021164021
feature_semantics,3,0,13,F12,0.018447156084656087
feature_semantics,3,0,14,F12,0.005588425925925918
feature_semantics,3,0,16,F1,0.010250000000000006
feature_semantics,3,0,18,F2,0.009500000000000012
feature_semantics,3,0,19,F12,0.00685390211640211
feature_semantics,3,0,20,F12,0.03291025132275128
feature_semantics,3,0,21,F12,-6.613756613756619e-07
repetition_blocks,3,0,2,B1,0.0381277777777778
repetition_blocks,3,0,4,B1,0.03973888888888891
repetition_blocks,3,0,5,B1,0.042822222222222206
repetition_blocks,3,0,6,B1,0.03846111111111114
repetition_blocks,3,0,7,B1,0.03085
repetition_blocks,3,0,9,B2,0.01568611111111111
repetition_blocks,3,0,11,B2,-0.00017499999999999634
repetition_blocks,3,0,12,B2,0.04935277777777777
repetition_blocks,3,0,13,B2,0.03938055555555556
repetition_blocks,3,0,14,B2,0.000755555555555554
repetition_blocks,3,0,16,B3,0.012777777777777775
repetition_blocks,3,0,18,B3,0.060166666666666674
repetition_blocks,3,0,19,B3,0.028666666666666667
repetition_blocks,3,0,20,B3,0.016388888888888904
repetition_blocks,3,0,21,B3,0.0
feature_semantics,3,1,2,F1,0.062305555555555545
feature_semantics,3,1,4,F2,0.07750000000000001
feature_semantics,3,1,5,F12,0.007905952380952376
feature_semantics,3,1,6,F12,0.025396428571428528
feature_semantics,3,1,7,F12,-0.0054833333333333305
feature_semantics,3,1,9,F1,0.01155555555555556
feature_semantics,3,1,11,F2,0.05966666666666667
feature_semantics,3,1,12,F12,-0.001667857142857138
feature_semantics,3,1,13,F12,-0.00030952380952382723
feature_semantics,3,1,14,F12,-0.006620634920634915
feature_semantics,3,1,16,F1,0.008472222222222233
feature_semantics,3,1,18,F2,0.016666666666666677
feature_semantics,3,1,19,F12,0.008029365079365074
feature_semantics,3,1,20,F12,0.017577380952380976
feature_semantics,3,1,21,F12,5.555555555555563e-06
repetition_blocks,3,1,2,B1,0.02111388888888887
repetition_blocks,3,1,4,B1,0.012225000000000003
repetition_blocks,3,1,5,B1,0.05265555555555555
repetition_blocks,3,1,6,B1,0.04286388888888891
repetition_blocks,3,1,7,B1,0.0013083333333333315
repetition_blocks,3,1,9,B2,-0.007066666666666667
repetition_blocks,3,1,11,B2,0.034544444444444454
repetition_blocks,3,1,12,B2,0.015961111111111113
repetition_blocks,3,1,13,B2,0.03187777777777778
repetition_blocks,3,1,14,B2,0.0013499999999999977
repetition_blocks,3,1,16,B3,0.00688888888888888
repetition_blocks,3,1,18,B3,-0.00786111111111112
repetition_blocks,3,1,19,B3,0.03741666666666666
repetition_blocks,3,1,20,B3,0.03772222222222225
repetition_blocks,3,1,21,B3,0.0
feature_semantics,3,2,2,F1,0.08855555555555555
feature_semantics,3,2,4,F2,0.10383333333333333
feature_semantics,3,2,5,F12,0.024643055555555557
feature_semantics,3,2,6,F12,-0.007674404761904797
feature_semantics,3,2,7,F12,0.034473611111111094
feature_semantics,3,2,9,F1,0.047222222222222235
feature_semantics,3,2,11,F2,0.059250000000000025
feature_semantics,3,2,12,F12,0.034234722222222215
feature_semantics,3,2,13,F12,-0.00893075396825397
feature_semantics,3,2,14,F12,0.008933531746031748
feature_semantics,3,2,16,F1,0.014055555555555585
feature_semantics,3,2,18,F2,0.019249999999999986
feature_semantics,3,2,19,F12,0.005570039682539683
feature_semantics,3,2,20,F12,0.0015835317460317173
feature_semantics,3,2,21,F12,0.0
repetition_blocks,3,2,2,B1,0.036719444444444437
