partition_name,r,group,group_description,gates_json,mean_group_owen,std_group_owen,mean_abs_group_owen,std_abs_group_owen,mean_share_abs_group_owen,std_share_abs_group_owen,rank_by_mean_group_owen,rank_by_mean_abs_group_owen
feature_semantics,1,F2,local phase encoding of feature x2,[4],0.13989999999999997,0.02219649621999934,0.13989999999999997,0.02219649621999934,0.5446712702973138,0.191096885627914,1,1
feature_semantics,1,F12,two-feature interaction motif,"[5,6,7]",0.0782,0.05771110041500779,0.0782,0.05771110041500779,0.2545349292301819,0.132927281375439,2,2
feature_semantics,1,F1,local phase encoding of feature x1,[2],0.060899999999999996,0.0356564782955979,0.060899999999999996,0.0356564782955979,0.20079380046863657,0.09843415181567478,3,3
feature_semantics,2,F2,local phase encoding of feature x2,"[4,11]",0.18676666666666664,0.051905212754704236,0.18676666666666664,0.051905212754704236,0.3768511338963496,0.10389654461233132,1,1
feature_semantics,2,F1,local phase encoding of feature x1,"[2,9]",0.16826666666666662,0.029400415718905146,0.16826666666666662,0.029400415718905146,0.3402779289694976,0.06210338268392028,2,2
feature_semantics,2,F12,two-feature interaction motif,"[5,6,7,12,13,14]",0.1401666666666667,0.05185824696012947,0.1401666666666667,0.05185824696012947,0.2828709371321332,0.10379752962040982,3,3
feature_semantics,3,F2,local phase encoding of feature x2,"[4,11,18]",0.13083333333333336,0.042446436835145554,0.13083333333333336,0.042446436835145554,0.39255272917391104,0.13554785234646888,1,1
feature_semantics,3,F1,local phase encoding of feature x1,"[2,9,16]",0.10883333333333334,0.050442045953747745,0.10883333333333334,0.050442045953747745,0.31359273918075103,0.13888684940411192,2,2
feature_semantics,3,F12,two-feature interaction motif,"[5,6,7,12,13,14,19,20,21]",0.1035333333333333,0.05123241161608539,0.1035333333333333,0.05123241161608539,0.2938545316423298,0.12021979366822283,3,3
repetition_blocks,1,B1,active gates in repetition block 1,"[2,4,5,6,7]",0.279,0.07602368052126915,0.279,0.07602368052126915,0.9999999999961322,1.0605054056117517e-12,1,1
repetition_blocks,2,B1,active gates in repetition block 1,"[2,4,5,6,7]",0.3871,0.03736361866843199,0.3871,0.03736361866843199,0.7819616487221739,0.07748995906811378,1,1
repetition_blocks,2,B2,active gates in repetition block 2,"[9,11,12,13,14]",0.1081,0.03880773118851448,0.1081,0.03880773118851448,0.21803835127580662,0.07748995906812059,2,2
repetition_blocks,3,B1,active gates in repetition block 1,"[2,4,5,6,7]",0.16826666666666668,0.025131785982430044,0.16826666666666668,0.025131785982430044,0.49408798761003253,0.03995153506971233,1,1
repetition_blocks,3,B2,active gates in repetition block 2,"[9,11,12,13,14]",0.11476666666666668,0.03670749242320973,0.11476666666666668,0.03670749242320973,0.3313599451899597,0.0644132741146944,2,2
repetition_blocks,3,B3,active gates in repetition block 3,"[16,18,19,20,21]",0.06016666666666669,0.032639955065328546,0.06016666666666669,0.032639955065328546,0.17455206719699942,0.08274399494262585,3,3
