partition_name,r,dataset_index,group,group_description,gates_json,passive_gates_json,group_owen_value,full_accuracy,baseline_accuracy_if_available,n_active_gates,n_passive_gates
feature_semantics,1,0,F1,local phase encoding of feature x1,[2],"[1,3]",0.11083333333333331,0.842,0.5,5,2
feature_semantics,1,0,F2,local phase encoding of feature x2,[4],"[1,3]",0.16533333333333333,0.842,0.5,5,2
feature_semantics,1,0,F12,two-feature interaction motif,"[5,6,7]","[1,3]",0.06583333333333333,0.842,0.5,5,2
repetition_blocks,1,0,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3]",0.34199999999999997,0.842,0.5,5,2
feature_semantics,1,1,F1,local phase encoding of feature x1,[2],"[1,3]",0.07933333333333333,0.887,0.5,5,2
feature_semantics,1,1,F2,local phase encoding of feature x2,[4],"[1,3]",0.1203333333333333,0.887,0.5,5,2
feature_semantics,1,1,F12,two-feature interaction motif,"[5,6,7]","[1,3]",0.18733333333333338,0.887,0.5,5,2
repetition_blocks,1,1,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3]",0.387,0.887,0.5,5,2
feature_semantics,1,2,F1,local phase encoding of feature x1,[2],"[1,3]",0.004666666666666679,0.684,0.5,5,2
feature_semantics,1,2,F2,local phase encoding of feature x2,[4],"[1,3]",0.16466666666666668,0.684,0.5,5,2
feature_semantics,1,2,F12,two-feature interaction motif,"[5,6,7]","[1,3]",0.014666666666666689,0.684,0.5,5,2
repetition_blocks,1,2,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3]",0.18400000000000005,0.684,0.5,5,2
feature_semantics,1,3,F1,local phase encoding of feature x1,[2],"[1,3]",0.06683333333333333,0.767,0.5,5,2
feature_semantics,1,3,F2,local phase encoding of feature x2,[4],"[1,3]",0.13783333333333334,0.767,0.5,5,2
feature_semantics,1,3,F12,two-feature interaction motif,"[5,6,7]","[1,3]",0.06233333333333333,0.767,0.5,5,2
repetition_blocks,1,3,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3]",0.267,0.767,0.5,5,2
feature_semantics,1,4,F1,local phase encoding of feature x1,[2],"[1,3]",0.04283333333333332,0.715,0.5,5,2
feature_semantics,1,4,F2,local phase encoding of feature x2,[4],"[1,3]",0.11133333333333331,0.715,0.5,5,2
feature_semantics,1,4,F12,two-feature interaction motif,"[5,6,7]","[1,3]",0.06083333333333332,0.715,0.5,5,2
repetition_blocks,1,4,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3]",0.215,0.715,0.5,5,2
feature_semantics,2,0,F1,local phase encoding of feature x1,"[2,9]","[1,3,8,10]",0.20199999999999999,0.986,0.5,10,4
feature_semantics,2,0,F2,local phase encoding of feature x2,"[4,11]","[1,3,8,10]",0.13149999999999995,0.986,0.5,10,4
feature_semantics,2,0,F12,two-feature interaction motif,"[5,6,7,12,13,14]","[1,3,8,10]",0.15250000000000002,0.986,0.5,10,4
repetition_blocks,2,0,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10]",0.414,0.986,0.5,10,4
repetition_blocks,2,0,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10]",0.07200000000000001,0.986,0.5,10,4
feature_semantics,2,1,F1,local phase encoding of feature x1,"[2,9]","[1,3,8,10]",0.1288333333333333,0.999,0.5,10,4
feature_semantics,2,1,F2,local phase encoding of feature x2,"[4,11]","[1,3,8,10]",0.1688333333333333,0.999,0.5,10,4
feature_semantics,2,1,F12,two-feature interaction motif,"[5,6,7,12,13,14]","[1,3,8,10]",0.20133333333333328,0.999,0.5,10,4
repetition_blocks,2,1,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10]",0.443,0.999,0.5,10,4
repetition_blocks,2,1,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10]",0.05600000000000001,0.999,0.5,10,4
feature_semantics,2,2,F1,local phase encoding of feature x1,"[2,9]","[1,3,8,10]",0.15299999999999997,0.996,0.5,10,4
feature_semantics,2,2,F2,local phase encoding of feature x2,"[4,11]","[1,3,8,10]",0.2845,0.996,0.5,10,4
feature_semantics,2,2,F12,two-feature interaction motif,"[5,6,7,12,13,14]","[1,3,8,10]",0.05850000000000003,0.996,0.5,10,4
repetition_blocks,2,2,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10]",0.34,0.996,0.5,10,4
repetition_blocks,2,2,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10]",0.15599999999999997,0.996,0.5,10,4
feature_semantics,2,3,F1,local phase encoding of feature x1,"[2,9]","[1,3,8,10]",0.20299999999999996,0.995,0.5,10,4
feature_semantics,2,3,F2,local phase encoding of feature x2,"[4,11]","[1,3,8,10]",0.18550000000000003,0.995,0.5,10,4
feature_semantics,2,3,F12,two-feature interaction motif,"[5,6,7,12,13,14]","[1,3,8,10]",0.10649999999999998,0.995,0.5,10,4
repetition_blocks,2,3,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10]",0.38099999999999995,0.995,0.5,10,4
repetition_blocks,2,3,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10]",0.114,0.995,0.5,10,4
feature_semantics,2,4,F1,local phase encoding of feature x1,"[2,9]","[1,3,8,10]",0.15449999999999994,1.0,0.5,10,4
feature_semantics,2,4,F2,local phase encoding of feature x2,"[4,11]","[1,3,8,10]",0.1635,1.0,0.5,10,4
feature_semantics,2,4,F12,two-feature interaction motif,"[5,6,7,12,13,14]","[1,3,8,10]",0.18200000000000005,1.0,0.5,10,4
repetition_blocks,2,4,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10]",0.3575,1.0,0.5,10,4
repetition_blocks,2,4,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10]",0.14250000000000002,1.0,0.5,10,4
feature_semantics,3,0,F1,local phase encoding of feature x1,"[2,9,16]","[1,3,8,10,15,17]",0.14833333333333334,0.913,0.5,15,6
feature_semantics,3,0,F2,local phase encoding of feature x2,"[4,11,18]","[1,3,8,10,15,17]",0.07683333333333334,0.913,0.5,15,6
feature_semantics,3,0,F12,two-feature interaction motif,"[5,6,7,12,13,14,19,20,21]","[1,3,8,10,15,17]",0.18783333333333332,0.913,0.5,15,6
repetition_blocks,3,0,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10,15,17]",0.19000000000000006,0.913,0.5,15,6
repetition_blocks,3,0,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10,15,17]",0.105,0.913,0.5,15,6
repetition_blocks,3,0,B3,active gates in repetition block 3,"[16,18,19,20,21]","[1,3,8,10,15,17]",0.11800000000000002,0.913,0.5,15,6
feature_semantics,3,1,F1,local phase encoding of feature x1,"[2,9,16]","[1,3,8,10,15,17]",0.08233333333333334,0.781,0.5,15,6
feature_semantics,3,1,F2,local phase encoding of feature x2,"[4,11,18]","[1,3,8,10,15,17]",0.15383333333333338,0.781,0.5,15,6
feature_semantics,3,1,F12,two-feature interaction motif,"[5,6,7,12,13,14,19,20,21]","[1,3,8,10,15,17]",0.0448333333333333,0.781,0.5,15,6
repetition_blocks,3,1,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10,15,17]",0.13016666666666665,0.781,0.5,15,6
repetition_blocks,3,1,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10,15,17]",0.07666666666666667,0.781,0.5,15,6
repetition_blocks,3,1,B3,active gates in repetition block 3,"[16,18,19,20,21]","[1,3,8,10,15,17]",0.07416666666666667,0.781,0.5,15,6
feature_semantics,3,2,F1,local phase encoding of feature x1,"[2,9,16]","[1,3,8,10,15,17]",0.14983333333333337,0.925,0.5,15,6
feature_semantics,3,2,F2,local phase encoding of feature x2,"[4,11,18]","[1,3,8,10,15,17]",0.18233333333333335,0.925,0.5,15,6
feature_semantics,3,2,F12,two-feature interaction motif,"[5,6,7,12,13,14,19,20,21]","[1,3,8,10,15,17]",0.09283333333333325,0.925,0.5,15,6
repetition_blocks,3,2,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10,15,17]",0.19799999999999998,0.925,0.5,15,6
repetition_blocks,3,2,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10,15,17]",0.185,0.925,0.5,15,6
repetition_blocks,3,2,B3,active gates in repetition block 3,"[16,18,19,20,21]","[1,3,8,10,15,17]",0.04200000000000003,0.925,0.5,15,6
feature_semantics,3,3,F1,local phase encoding of feature x1,"[2,9,16]","[1,3,8,10,15,17]",0.14233333333333328,0.788,0.5,15,6
feature_semantics,3,3,F2,local phase encoding of feature x2,"[4,11,18]","[1,3,8,10,15,17]",0.08383333333333333,0.788,0.5,15,6
feature_semantics,3,3,F12,two-feature interaction motif,"[5,6,7,12,13,14,19,20,21]","[1,3,8,10,15,17]",0.061833333333333323,0.788,0.5,15,6
repetition_blocks,3,3,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10,15,17]",0.15016666666666667,0.788,0.5,15,6
repetition_blocks,3,3,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10,15,17]",0.10166666666666668,0.788,0.5,15,6
repetition_blocks,3,3,B3,active gates in repetition block 3,"[16,18,19,20,21]","[1,3,8,10,15,17]",0.03616666666666667,0.788,0.5,15,6
feature_semantics,3,4,F1,local phase encoding of feature x1,"[2,9,16]","[1,3,8,10,15,17]",0.021333333333333357,0.809,0.5,15,6
feature_semantics,3,4,F2,local phase encoding of feature x2,"[4,11,18]","[1,3,8,10,15,17]",0.15733333333333338,0.809,0.5,15,6
feature_semantics,3,4,F12,two-feature interaction motif,"[5,6,7,12,13,14,19,20,21]","[1,3,8,10,15,17]",0.13033333333333333,0.809,0.5,15,6
repetition_blocks,3,4,B1,active gates in repetition block 1,"[2,4,5,6,7]","[1,3,8,10,15,17]",0.17300000000000001,0.809,0.5,15,6
repetition_blocks,3,4,B2,active gates in repetition block 2,"[9,11,12,13,14]","[1,3,8,10,15,17]",0.10550000000000001,0.809,0.5,15,6
repetition_blocks,3,4,B3,active gates in repetition block 3,"[16,18,19,20,21]","[1,3,8,10,15,17]",0.03050000000000002,0.809,0.5,15,6
