partition_name,r,dataset_index,full_accuracy,baseline_accuracy_if_available,n_cached_value_evaluations
feature_semantics,1,0,0.842,0.5,32
repetition_blocks,1,0,0.842,0.5,32
feature_semantics,1,1,0.887,0.5,32
repetition_blocks,1,1,0.887,0.5,32
feature_semantics,1,2,0.684,0.5,32
repetition_blocks,1,2,0.684,0.5,32
feature_semantics,1,3,0.767,0.5,32
repetition_blocks,1,3,0.767,0.5,32
feature_semantics,1,4,0.715,0.5,32
repetition_blocks,1,4,0.715,0.5,32
feature_semantics,2,0,0.986,0.5,272
repetition_blocks,2,0,0.986,0.5,358
feature_semantics,2,1,0.999,0.5,272
repetition_blocks,2,1,0.999,0.5,358
feature_semantics,2,2,0.996,0.5,272
repetition_blocks,2,2,0.996,0.5,358
feature_semantics,2,3,0.995,0.5,272
repetition_blocks,2,3,0.995,0.5,358
feature_semantics,2,4,1.0,0.5,272
repetition_blocks,2,4,1.0,0.5,358
feature_semantics,3,0,0.913,0.5,2096
repetition_blocks,3,0,0.913,0.5,2408
feature_semantics,3,1,0.781,0.5,2096
repetition_blocks,3,1,0.781,0.5,2408
feature_semantics,3,2,0.925,0.5,2096
repetition_blocks,3,2,0.925,0.5,2408
feature_semantics,3,3,0.788,0.5,2096
repetition_blocks,3,3,0.788,0.5,2408
feature_semantics,3,4,0.809,0.5,2096
repetition_blocks,3,4,0.809,0.5,2408
