benchmark_id,family_role,value_function,active_gates_json,locked_gates_json,emx_partition_json,group_sizes_json,group_totals_json,dominance_abs,dominance_norm,top_group,bottom_group,top_drop,bottom_drop,faithfulness_gap,faithfulness_ratio,share_E,share_M,share_X,resource_alignment,expected_group_label,expected_group_gates_json,expected_drop,expected_drop_norm,expected_metric_skip_reason,skip_reason
M1,magic_axis,magic,"[0,3,4,5,6,7]","[1,2]","{""E"":[4],""M"":[0,6,7],""X"":[3,5]}","{""E"":1,""M"":3,""X"":2}","{""E"":0.0,""M"":0.03505810668087084,""X"":0.0857388459968176}",0.0857388459968176,0.7097765638581712,X,E,0.08666388081552667,0.0,0.08666388081552667,86663880815.52667,0.0,0.29022343613355034,0.7097765638581712,0.9999999999917215,M+X,"[0,3,5,6,7]",0.12079695267768842,0.9999999999917143,,
M1,magic_axis,entanglement,"[0,3,4,5,6,7]","[1,2]","{""E"":[4],""M"":[0,6,7],""X"":[3,5]}","{""E"":1,""M"":3,""X"":2}","{""E"":0.0,""M"":6.661338147750941e-16,""X"":-1.1102230246251565e-15}",1.1102230246251565e-15,0.0011082543693962843,M,X,4.440892098500626e-16,-1.3322676295501878e-15,1.7763568394002505e-15,0.00044349835135279643,0.0,0.0006649526216377708,0.0011082543693962843,0.0,E,[4],0.0,0.0,,
M2,magic_axis,magic,"[0,1,2,3,4,5,6,7]",[],"{""E"":[2],""M"":[0,4,5,6,7],""X"":[1,3]}","{""E"":1,""M"":5,""X"":2}","{""E"":0.0,""M"":0.3623214406160403,""X"":-4.440892098500626e-16}",0.3623214406160403,0.9999999999972389,M,X,0.36232144061603977,-8.881784197001252e-16,0.36232144061604066,361999920099.0746,0.0,0.9999999999972389,1.2256774235986966e-15,0.9999999999972401,M+X,"[0,1,3,4,5,6,7]",0.36232144061603977,0.9999999999972401,,
M2,magic_axis,entanglement,"[0,1,2,3,4,5,6,7]",[],"{""E"":[2],""M"":[0,4,5,6,7],""X"":[1,3]}","{""E"":1,""M"":5,""X"":2}","{""E"":0.0,""M"":5.551115123125782e-16,""X"":-5.551115123125783e-16}",5.551115123125783e-16,0.0005544958981993372,M,X,0.0,-1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,0.0005544958981993371,0.0005544958981993372,0.0,E,[2],0.0,0.0,,
M3,magic_axis,magic,"[0,1,3,4,5]",[2],"{""M"":[0,1,3,4,5]}","{""M"":5}","{""M"":0.6034313602558846}",0.0,0.0,M,M,0.6034313602558847,0.6034313602558847,0.0,0.9999999999983429,0.0,0.9999999999983429,0.0,0.9999999999983429,M+X,"[0,1,3,4,5]",0.6034313602558847,0.9999999999983413,,fewer than two non-empty active E/M/X groups
M3,magic_axis,entanglement,"[0,1,3,4,5]",[2],"{""M"":[0,1,3,4,5]}","{""M"":5}","{""M"":2.220446049250313e-16}",0.0,0.0,M,M,2.220446049250313e-16,2.220446049250313e-16,0.0,0.00022199531206366894,0.0,0.00022199531206366894,0.0,0.0,E,[],,,entanglement expected group E is empty,fewer than two non-empty active E/M/X groups
M4,magic_axis,magic,"[0,1,2,3,4,5,6,7]",[],"{""E"":[0,5],""M"":[1,2,3,4,7],""X"":[6]}","{""E"":2,""M"":5,""X"":1}","{""E"":0.0,""M"":0.676457972241202,""X"":0.17201431039780712}",0.676457972241202,0.7972658460172829,M,E,0.6764579722412014,0.0,0.6764579722412014,676457972241.2014,0.0,0.7972658460172829,0.20273415398153857,0.9999999999988215,M+X,"[1,2,3,4,6,7]",0.8484722826390092,0.9999999999988214,,
M4,magic_axis,entanglement,"[0,1,2,3,4,5,6,7]",[],"{""E"":[0,5],""M"":[1,2,3,4,7],""X"":[6]}","{""E"":2,""M"":5,""X"":1}","{""E"":0.0,""M"":6.661338147750937e-16,""X"":0.0}",6.661338147750937e-16,0.0006656903759055328,M,E,6.661338147750939e-16,0.0,6.661338147750939e-16,0.0006661338147750939,0.0,0.0006656903759055328,0.0,0.0,E,"[0,5]",0.0,0.0,,
M5,magic_axis,magic,"[0,1,2,3,4,5,6]",[],"{""E"":[2],""M"":[0,4,5,6],""X"":[1,3]}","{""E"":1,""M"":4,""X"":2}","{""E"":0.0,""M"":0.7809193436499283,""X"":0.28159104591922146}",0.7809193436499283,0.7349757247699551,M,E,0.7809193436499284,0.0,0.7809193436499284,780919343649.9285,0.0,0.7349757247699551,0.26502427522910355,0.9999999999990586,M+X,"[0,1,3,4,5,6]",1.06251038956915,0.9999999999990588,,
M5,magic_axis,entanglement,"[0,1,2,3,4,5,6]",[],"{""E"":[2],""M"":[0,4,5,6],""X"":[1,3]}","{""E"":1,""M"":4,""X"":2}","{""E"":0.0,""M"":0.0,""X"":0.0}",0.0,0.0,X,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,[2],0.0,0.0,,
