benchmark_id,family_role,value_function,n_active,n_nonempty_groups,n_random,emx_dominance_norm,random_dominance_norm_mean,random_dominance_norm_std,random_dominance_norm_median,random_dominance_norm_p05,random_dominance_norm_p95,dominance_percentile,emx_faithfulness_gap,random_faithfulness_gap_mean,random_faithfulness_gap_std,random_faithfulness_gap_median,random_faithfulness_gap_p05,random_faithfulness_gap_p95,faithfulness_percentile,emx_resource_alignment,random_resource_alignment_mean,random_resource_alignment_std,random_resource_alignment_median,random_resource_alignment_p05,random_resource_alignment_p95,resource_alignment_percentile,emx_expected_drop,random_expected_drop_mean,random_expected_drop_std,random_expected_drop_median,random_expected_drop_p05,random_expected_drop_p95,expected_drop_percentile,emx_expected_drop_norm,random_expected_drop_norm_mean,random_expected_drop_norm_std,random_expected_drop_norm_median,random_expected_drop_norm_p05,random_expected_drop_norm_p95,expected_drop_norm_percentile,skip_reason
M1,magic_axis,magic,6,3,100,0.7097765638581712,0.7465907003007929,0.12696618780541072,0.8257637316098146,0.5784738637491869,0.8763550660614114,0.41,0.08666388081552667,0.09269453127695032,0.02773289301076045,0.1146856736439874,0.05494194871222913,0.12079695267768842,0.41,0.9999999999917215,0.8394580394775464,0.23989693764514514,0.8763550660614111,0.29022343613354973,0.9999999999917216,0.64,0.12079695267768842,0.10718002702775298,0.029956633338652873,0.12079695267768842,0.03598314149957993,0.12079695267768886,0.36,0.9999999999917143,0.8872742618999976,0.24799163119896936,0.9999999999917143,0.2978812023122168,0.999999999991718,0.36,
M1,magic_axis,entanglement,6,3,100,0.0011082543693962843,0.0005868430754266762,0.00031922298638750155,0.0006647561632584334,4.9238208105517204e-20,0.0011082543693962843,0.92,1.7763568394002505e-15,1.2212453270876722e-15,5.734600159243967e-16,1.3322676295501878e-15,4.440892098500626e-16,1.7763568394002505e-15,0.58,,,,,,,,,,,,,,,,,,,,,,
M2,magic_axis,magic,8,3,100,0.9999999999972389,0.764468994336379,0.1897314897943319,0.6268292762687075,0.568306986177435,0.9999999999972372,0.99,0.36232144061604066,0.28048214760994017,0.07231618329083532,0.23771562662565415,0.19530786571749736,0.362321440616042,0.83,0.9999999999972401,0.895390458408861,0.20048721068567113,0.9999999999972387,0.4024318687741679,0.9999999999972401,0.86,0.36232144061603977,0.3269636264599397,0.07173204010727638,0.36232144061603977,0.145809694444464,0.36232144061603977,0.33,0.9999999999972401,0.9024131332198144,0.19797900997830953,0.9999999999972401,0.4024318687741679,0.9999999999972401,0.33,
M2,magic_axis,entanglement,8,3,100,0.0005544958981993372,0.00019080420298468964,0.00015472012450321807,0.00014794213727422674,2.4035605705952706e-20,0.0004066904608641502,0.96,1.1102230246251565e-15,5.040412531798211e-16,4.592137967304002e-16,6.661338147750939e-16,0.0,1.1102230246251565e-15,0.77,,,,,,,,,,,,,,,,,,,,,,
M3,magic_axis,magic,5,1,0,0.0,,,,,,,0.0,,,,,,,0.9999999999983429,,,,,,,0.6034313602558847,,,,,,,0.9999999999983413,,,,,,,fewer than two non-empty active E/M/X groups
M3,magic_axis,entanglement,5,1,0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,fewer than two non-empty active E/M/X groups
M4,magic_axis,magic,8,3,100,0.7972658460172829,0.5452769039908592,0.21893798455859254,0.5448087317474676,0.20045256246271861,0.8483397596612634,0.89,0.6764579722412014,0.45443059807174174,0.17983919966571849,0.4483928129849091,0.1733270982270816,0.6952717085633506,0.89,0.9999999999988215,0.7481049532733077,0.14972405627940916,0.773506792281169,0.4507048239164832,0.9910271113290802,0.99,0.8484722826390092,0.6179783341327293,0.1297420051404708,0.6232458134664487,0.3900237980767729,0.8484722826390092,0.91,0.9999999999988214,0.7283423946506524,0.1529124849391431,0.7345505872357179,0.4596777125862256,0.9999999999988214,0.91,
M4,magic_axis,entanglement,8,3,100,0.0006656903759055328,0.0004455983396571214,0.00017253139263334803,0.00044369512941119354,0.0001404307644596327,0.0007025692426595633,0.83,6.661338147750939e-16,6.017408793468348e-16,2.4180443382793847e-16,6.661338147750939e-16,0.0,8.881784197001252e-16,0.18,,,,,,,,,,,,,,,,,,,,,,
M5,magic_axis,magic,7,3,100,0.7349757247699551,0.44670904071887974,0.269056679301395,0.5418851317416993,0.03694187977679854,0.8819881124046494,0.9,0.7809193436499284,0.5091718867749694,0.2943609850866689,0.5783301466877058,0.11646636559686163,1.06251038956915,0.79,0.9999999999990586,0.8253728628394746,0.1357117498310605,0.7349757247699552,0.6873416203530553,0.9999999999990588,0.79,1.06251038956915,0.9129749495538175,0.13581674397627364,0.8189782961665384,0.7809193436499284,1.0625103895691508,0.55,0.9999999999990588,0.859262138531343,0.12782627380351524,0.7707955651124173,0.7349757247699552,0.9999999999990595,0.55,
M5,magic_axis,entanglement,7,3,100,0.0,2.220117405855466e-06,8.787477850171667e-06,0.0,0.0,3.7001956764257766e-05,0.0,0.0,8.881784197001253e-18,4.351167857633659e-17,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
E1,entanglement_axis,magic,4,2,100,0.999999999986251,0.7815403154534344,0.22185309901472852,0.9157342291469304,0.5008955989136545,0.993883448464093,1.0,0.07273280839679042,0.06094658259916442,0.01939679284503686,0.07228793442687409,0.03643154362308332,0.07942567404478296,0.68,0.999999999986251,0.5926051231808003,0.39551271372098595,0.7504477994499528,0.0030582757610788784,0.95786711456717,1.0,0.07273280839679042,-0.07449398085597445,0.11942325419898366,-0.12629797715051572,-0.20572365119529867,0.07273280839678997,1.0,0.9999999999862388,-1.0242142782188597,1.6419447678389143,-1.7364650139695559,-2.828484912477901,0.9999999999862327,1.0,
E1,entanglement_axis,entanglement,4,2,100,0.07438562443204719,0.2751370624945226,0.17878405931422436,0.17854292730841026,0.0939626366025724,0.4995119336185778,0.0,0.9999999999999996,0.38493511992629936,0.30968973480543727,0.4166259932741623,0.03715650709401386,0.7916510979428075,1.0,0.5371928122155235,0.3624314687496109,0.08939202965991831,0.41072853634459483,0.2502440331839893,0.4530186816980822,1.0,0.07438562443212193,-0.31054949549417826,0.30968973480543727,-0.3422403688420408,-0.7172654735106865,0.03722911733810719,1.0,0.9999999999865505,-4.174859024990546,4.163300868487955,-4.6008939422124175,-9.642528095674667,0.5004880663679665,1.0,
E2,entanglement_axis,magic,6,2,100,0.9999999999962613,0.8806645496539767,0.06305330334069993,0.8907529798553518,0.8070817398598904,0.9999999999962548,1.0,0.2674717381531799,0.2437288490819388,0.027452577683758434,0.23825124778792617,0.21587155579282458,0.28985143014828196,0.69,0.9999999999962613,0.6161659269772236,0.42590130245041113,0.9035408699280759,0.0546235100704539,0.9999999999962581,1.0,0.2674717381531799,0.1583160433390832,0.12119169406223962,0.24167164697300203,-0.0021023145572551805,0.2674717381531808,0.88,0.9999999999962613,0.5918982111217462,0.45310093282595926,0.9035408699280751,-0.00785995025778512,0.9999999999962647,0.88,
E2,entanglement_axis,entanglement,6,2,100,0.0,0.6343108917321265,0.25664173538032825,0.6725298157702193,0.0,0.9912819491859535,0.0,0.0,0.3369229753974624,0.2550008803304068,0.2515964426884163,0.0,0.985792068332316,0.0,0.4999999999983838,0.2743924171079016,0.2572062216772506,0.17252981577183657,0.004359025405421128,0.9240310020065755,0.81,0.3093590885844655,-0.1261243843839758,0.27113358375267177,-0.09125978089448328,-0.6764329797478505,0.3093590885844655,0.92,0.9999999999967676,-0.4076957459393727,0.8764364576855377,-0.2949962818670229,-2.1865624922830578,0.9999999999967676,0.92,
E3,entanglement_axis,magic,6,3,100,0.9999999999949323,0.9999999999949313,7.6307139617879755e-16,0.9999999999949317,0.9999999999949307,0.9999999999949323,0.5,0.19732733749896436,0.1973273374989646,2.237726045655905e-16,0.19732733749896458,0.19732733749896436,0.1973273374989648,0.0,0.9999999999949323,0.7099999999964016,0.45376205217923715,0.9999999999949315,0.0,0.9999999999949323,0.61,0.19732733749896436,0.14010240962426468,0.0895396576150489,0.19732733749896436,-4.440892098500626e-16,0.19732733749896436,0.29,0.9999999999949323,0.7099999999964015,0.45376205217923776,0.9999999999949323,-2.2505204574107365e-15,0.9999999999949323,0.29,
E3,entanglement_axis,entanglement,6,3,100,0.4999999999990213,0.6299999999987669,0.2193171219941838,0.4999999999990213,0.4999999999990213,0.9999999999980426,0.0,0.5108744031547481,0.510874403154748,1.1102230246251565e-16,0.5108744031547481,0.5108744031547481,0.5108744031547481,0.0,0.4999999999990213,0.3399999999993345,0.29051678092611033,0.4999999999990213,0.0,0.9999999999980426,0.38,0.5108744031547481,0.3167421299559438,0.24797150986792504,0.5108744031547481,0.0,0.5108744031547481,0.38,0.9999999999980426,0.6199999999987865,0.4853864439795138,0.9999999999980426,0.0,0.9999999999980426,0.38,
E4,entanglement_axis,magic,1,1,0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,fewer than two non-empty active E/M/X groups
E4,entanglement_axis,entanglement,1,1,0,0.0,,,,,,,0.0,,,,,,,0.9999999999985001,,,,,,,0.6666666666666659,,,,,,,0.9999999999984961,,,,,,,fewer than two non-empty active E/M/X groups
E5,entanglement_axis,magic,6,3,100,0.9067288716308983,0.9263158085864792,0.037990098863515696,0.9067288716308982,0.9067288716308961,0.999999999990813,0.66,0.09871939626643567,0.10085190869816806,0.0041361422816092955,0.09871939626643567,0.09871939626643522,0.10887421736992442,0.43,0.9999999999908143,0.7199999999933869,0.4033572269198524,0.9067288716308995,0.08860757194192045,0.999999999990815,0.79,0.10887421736992442,0.07838943650634572,0.04391520240180526,0.09871939626643567,0.009647080048314762,0.10887421736992442,0.51,0.999999999990815,0.7199999999933882,0.40335722691985204,0.9067288716309003,0.08860757194192312,0.999999999990815,0.51,
