value_function,metric,n_valid_circuits,n_random,mean_emx,mean_random,mean_percentile,median_percentile,wilcoxon_p_greater_than_0_5
magic,dominance_norm,13,100,0.8077094828622838,0.7192000131658237,0.6430769230769232,0.66,0.101318359375
magic,faithfulness_gap,13,100,0.29612884767057146,0.26391144752585566,0.4869230769230769,0.43,0.580322265625
magic,resource_alignment,13,100,0.9657358482346623,0.7031758896333185,0.8199999999999998,0.8,0.0001220703125
magic,expected_drop,13,100,0.44944353059105224,0.3341912367789958,0.6576923076923078,0.72,0.02392578125
magic,expected_drop_norm,13,100,0.9999999999951321,0.5908791113556259,0.6576923076923078,0.72,0.02392578125
entanglement,dominance_norm,13,100,0.2752213111498541,0.3791120523004823,0.36384615384615376,0.38,0.9461669921875
entanglement,faithfulness_gap,13,100,0.3692979581222348,0.30963619127410424,0.41000000000000003,0.35,0.8367919921875
entanglement,resource_alignment,9,100,0.5045150996414979,0.32149534065647,0.7088888888888889,0.8,0.013671875
entanglement,expected_drop,9,100,0.46473917550199395,0.2048388961439233,0.7144444444444445,0.75,0.0078125
entanglement,expected_drop_norm,9,100,0.9999999999956574,-0.06805878011242651,0.7144444444444445,0.75,0.0078125
