r,gate_index,run,shapley_value
1,2,0,0.09141666666666665
1,4,0,0.15041666666666664
1,5,0,0.04924999999999999
1,6,0,0.050916666666666666
1,7,0,0.0
2,2,0,0.09946150793650786
2,4,0,0.07786626984126999
2,5,0,0.055069841269841255
2,6,0,0.10946865079365084
2,7,0,0.012509126984126978
2,9,0,0.045399603174603155
2,11,0,0.005211507936507933
2,12,0,0.040523412698412704
2,13,0,0.04049007936507937
2,14,0,0.0
3,2,0,0.052914634146341455
3,4,0,0.03626829268292686
3,5,0,0.027115853658536585
3,6,0,0.08761585365853668
3,7,0,0.017353658536585357
3,9,0,0.03220121951219513
3,11,0,0.005658536585365856
3,12,0,0.05208536585365853
3,13,0,0.040146341463414635
3,14,0,0.0045914634146341435
3,16,0,0.019085365853658536
3,18,0,0.01563414634146341
3,19,0,0.003969512195121956
3,20,0,0.02793292682926829
3,21,0,6.0975609756097615e-06
3,2,1,0.06800609756097564
3,4,1,0.04805487804878051
3,5,1,0.03295731707317075
3,6,1,0.07332317073170735
3,7,1,0.028329268292682928
3,9,1,0.02267073170731708
3,11,1,0.001945121951219518
3,12,1,0.044597560975609754
3,13,1,0.042957317073170735
3,14,1,0.0037926829268292695
3,16,1,0.018707317073170738
3,18,1,0.027713414634146335
3,19,1,0.004731707317073174
3,20,1,0.0269207317073171
3,21,1,0.0
