r,gate_index,mean,std
1,2,0.09141666666666665,0.0
1,4,0.15041666666666664,0.0
1,5,0.04924999999999999,0.0
1,6,0.050916666666666666,0.0
1,7,0.0,0.0
2,2,0.09946150793650786,0.0
2,4,0.07786626984126999,0.0
2,5,0.055069841269841255,0.0
2,6,0.10946865079365084,0.0
2,7,0.012509126984126978,0.0
2,9,0.045399603174603155,0.0
2,11,0.005211507936507933,0.0
2,12,0.040523412698412704,0.0
2,13,0.04049007936507937,0.0
2,14,0.0,0.0
3,2,0.06046036585365855,0.007545731707317094
3,4,0.04216158536585368,0.005893292682926824
3,5,0.030036585365853664,0.002920731707317081
3,6,0.08046951219512202,0.007146341463414661
3,7,0.022841463414634142,0.005487804878048785
3,9,0.027435975609756105,0.004765243902439025
3,11,0.003801829268292687,0.0018567073170731691
3,12,0.04834146341463414,0.0037439024390243866
3,13,0.041551829268292685,0.00140548780487805
3,14,0.004192073170731707,0.000399390243902437
3,16,0.018896341463414637,0.00018902439024389914
3,18,0.021673780487804873,0.006039634146341462
3,19,0.004350609756097565,0.00038109756097560923
3,20,0.027426829268292693,0.0005060975609755946
3,21,3.0487804878048808e-06,3.0487804878048808e-06
